,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
0,56.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),,WHITE,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
1,10.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),,COLOURED,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
2,42.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),,INDIAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
3,570.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),,AFRICAN,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
4,0.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),,ALL OTHER,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
5,678.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),TOTAL,TOTAL,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
6,372.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),MALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
7,306.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),FEMALE,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
8,0.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),UNKNOWN,,1.0 PROFESSIONAL STAFF     - SUB-TOTAL
9,50.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),,WHITE,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
10,8.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),,COLOURED,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
11,40.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),,INDIAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
12,482.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),,AFRICAN,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
13,0.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),,ALL OTHER,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
14,580.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),TOTAL,TOTAL,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
15,320.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),MALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
16,260.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),FEMALE,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
17,0.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),UNKNOWN,,   1.1 INSTRUCTION/RESEARCH PROFESSIONAL
18,5.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),,WHITE,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
19,2.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),,COLOURED,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
20,1.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),,INDIAN,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
21,25.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),,AFRICAN,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
22,0.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),,ALL OTHER,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
23,33.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),TOTAL,TOTAL,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
24,22.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),MALE,,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
25,11.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),FEMALE,,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
26,0.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),UNKNOWN,,   1.2 EXECUTIVE/ADMINISTRATIVE/MANAGERIAL PROFESSIONALS
27,1.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),,WHITE,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
28,0.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),,COLOURED,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
29,1.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),,INDIAN,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
30,63.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),,AFRICAN,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
31,0.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),,ALL OTHER,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
32,65.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),TOTAL,TOTAL,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
33,30.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),MALE,,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
34,35.0,0,2017,Year,INSTITUTION: H19 (WALTER SISULU UNIVERSITY ),FEMALE,,   1.3 SPECIALIST/SUPPORT PROFESSIONALS
