Table E - Breakdown of Funding Council Grants 2000/01,,
,,£ Thousands
,,% of total


Recurrent  - teaching,3805637,71.06%
Recurrent  - research,1070580,19.99%
Recurrent  - other (inc. special funding),309879,5.79%
Release of deferred capital grants - buildings,53938,1.01%
Release of deferred capital grants - equipment,44709,0.83%
Grants for FE provision (not applicable in Scotland),71034,1.33%

Total funding council grants,5355777,100.00%


Copyright © Higher Education Statistics Agency Limited 2002,,
