Table K - Summary - Academic Staff in all UK Institutions 2000/01,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,
,,Full-time,Part-time,Total,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Mode of employment,,116405,23535,139940,,,,,,,,
,,,,,,,,,,,,
Gender,,,,,,,,,,,,
,Female,38990,12230,51220,,,,,,,,
,Male,77415,11305,88720,,,,,,,,
Principal source of salary,,,,,,,,,,,,
,Wholly institutionally financed,80435,16540,96975,,,,,,,,
,All other sources of finance,35970,6995,42965,,,,,,,,
Primary employment function,,,,,,,,,,,,
,Teaching/Teaching & research,80405,16050,96455,,,,,,,,
,Research only,36005,7480,43485,,,,,,,,
Grade (#9),,,,,,,,,,,,
,Professors,12530,930,13460,,,,,,,,
,Senior lecturers & researchers,22105,1845,23955,,,,,,,,
,Lecturers,41955,8220,50170,,,,,,,,
,Researchers,32445,6555,39000,,,,,,,,
,Other grades,7370,5985,13355,,,,,,,,
Clinical status,,,,,,,,,,,,
,Non-clinical,110540,22285,132825,,,,,,,,
,Clinical,5870,1245,7115,,,,,,,,
,,,,,,,,,,,,
"In this table 0, 1, 2 are rounded to 0. All other numbers are rounded up or down to the nearest 5.",,,,,,,,,,,,
# see relevant footnote in Notes on Tables.,,,,,,,,,,,,
,,,,,,,,,,,,
Copyright © Higher Education Statistics Agency Limited 2002,,,,,,,,,,,,
