"Table M - Full-time Academic Staff in all UK institutions by Principal Source of Salary, Gender and Departmental Cost Centre 2000/01",,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,
,,Wholly Institutionally Financed,,,,All Other Sources of Finance,,,,,,,,,,,,,,,,,,
,,Female,Male,Total,,Female,Male,Total,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Departmental cost centres,,24410,56025,80435,,14580,21395,35970,,,,,,,,,,,,,,,,
,"Medicine, dentistry & health",6620,7615,14235,,7945,7430,15375,,,,,,,,,,,,,,,,
,"Agriculture, forestry & veterinary science",420,1175,1595,,325,385,710,,,,,,,,,,,,,,,,
,"Biological, mathematical & physical science",2655,11890,14545,,3480,7120,10605,,,,,,,,,,,,,,,,
,Engineering & technology,1245,9655,10900,,845,4055,4900,,,,,,,,,,,,,,,,
,Architecture & planning,330,1400,1725,,110,225,335,,,,,,,,,,,,,,,,
,"Administrative, business & social studies",5585,12265,17850,,1140,1365,2500,,,,,,,,,,,,,,,,
,Language based studies,2145,2765,4910,,125,145,270,,,,,,,,,,,,,,,,
,Other arts,2495,5730,8225,,275,400,675,,,,,,,,,,,,,,,,
,Education,2585,3110,5695,,270,195,465,,,,,,,,,,,,,,,,
,Academic services,205,220,425,,45,60,105,,,,,,,,,,,,,,,,
,Administration & central services,130,195,325,,20,15,35,,,,,,,,,,,,,,,,
,Premises,0,0,0,,0,0,0,,,,,,,,,,,,,,,,
,Residences & catering,0,0,0,,0,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"In this table 0, 1, 2 are rounded to 0. All other numbers are rounded up or down to the nearest 5.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Copyright © Higher Education Statistics Agency Limited 2002,,,,,,,,,,,,,,,,,,,,,,,,
