"Table 14 - Sources of Salary of Academic Staff of all UK Institutions by Gender, Grade(#9) and Mode of Employment 2000/01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Professors,,,Senior Lecturers & Researchers,,,Lecturers,,,Researchers,,,Other Grades,, ,,,,,,,,,,,,,,,,,,,,,,
,,,,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Total ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Full-time ,,,1575,10960,,5370,16740,,15895,26055,,13185,19265,,2965,4400,,116405,,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,Wholly institutionally financed,,1415,10065,,4615,15135,,13895,23725,,2565,4105,,1920,2995,,80435,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,All other sources of finance,,160,895,,750,1605,,2000,2330,,10615,15160,,1050,1405,,35970,,3,,,,,,,,,,,,,,,,,,,
4,,,,Principally financed by the institution ,25,205,,85,275,,125,205,,165,220,,30,65,,1410,,4,,,,,,,,,,,,,,,,,,,
5,,,,OST research councils,20,80,,60,160,,125,290,,2975,6365,,60,140,,10270,,5,,,,,,,,,,,,,,,,,,,
6,,,,UK based charities,25,105,,85,220,,245,450,,3195,2955,,175,305,,7755,,6
7,,,,"UK cent govt bodies, local auth, health & hospital auth",70,350,,440,700,,1205,860,,1765,1460,,605,490,,7945,,7
8,,,,"UK industry, commerce & public corps",5,40,,20,80,,85,200,,835,1475,,75,165,,2980,,8
9,,,,EU sources,0,5,,10,35,,20,60,,695,1375,,35,90,,2320,,9
10,,,,Other overseas sources,0,10,,15,35,,50,60,,305,435,,10,35,,960,,10
11,,,,Other sources,15,100,,35,100,,140,210,,685,875,,60,115,,2335,,11
,,,,,,,,,,,,,,,,,,,,,,
12,,Part-time ,,,120,810,,675,1170,,4650,3570,,3870,2685,,2915,3075,,23535,,12
,,,,,,,,,,,,,,,,,,,,,,
13,,,Wholly institutionally financed,,90,710,,505,935,,4120,3150,,970,635,,2570,2855,,16540,,13
,,,,,,,,,,,,,,,,,,,,,,
14,,,All other sources of finance,,25,105,,170,230,,530,420,0,2900,2050,,345,220,,6995,,14
15,,,,Principally financed by the institution ,5,30,,20,15,,55,40,,50,45,,20,20,,300,,15
16,,,,OST research councils,5,15,,10,30,,25,40,,635,725,,25,30,,1535,,16
17,,,,UK based charities,5,10,,35,30,,110,155,,790,370,,65,40,,1610,,17
18,,,,"UK cent govt bodies, local auth, health & hospital auth",10,25,,80,110,,250,85,,665,220,,140,50,,1635,,18
19,,,,"UK industry, commerce & public corps",0,10,,5,15,,25,45,,215,220,,20,20,,570,,19
20,,,,EU sources,0,5,,5,10,,5,10,,195,220,,10,10,,470,,20
21,,,,Other overseas sources,0,0,,0,5,,15,10,,100,95,,10,10,,240,,21
22,,,,Other sources,5,10,,20,20,,45,35,,250,150,,55,35,,630,,22
,,,,,,,,,,,,,,,,,,,,,,
23,,All modes,,,1690,11770,,6045,17905,,20550,29625,,17055,21945,,5880,7475,,139940,,23
,,,,,,,,,,,,,,,,,,,,,,
24,,,Wholly institutionally financed,,1505,10775,,5120,16070,,18015,26875,,3540,4740,,4490,5850,,96975,,24
,,,,,,,,,,,,,,,,,,,,,,
25,,,All other sources of finance,,185,995,,925,1835,,2535,2750,,13515,17210,,1390,1620,,42965,,25
26,,,,Principally financed by the institution ,30,235,,105,295,,180,245,,215,270,,55,85,,1710,,26
27,,,,OST research councils,20,90,,65,185,,150,330,,3610,7095,,85,170,,11805,,27
28,,,,UK based charities,30,115,,125,245,,355,605,,3985,3325,,240,340,,9365,,28
29,,,,"UK cent govt bodies, local auth, health & hospital auth",80,375,,520,810,,1450,940,,2435,1680,,745,545,,9580,,29
30,,,,"UK industry, commerce & public corps",5,50,,25,100,,115,245,,1045,1690,,90,185,,3550,,30
31,,,,EU sources,0,10,,15,45,,30,70,,890,1595,,45,100,,2790,,31
32,,,,Other overseas sources,0,15,,15,40,,65,70,,405,530,,20,45,,1200,,32,,,,,,,,,,,,,,,,,,,
33,,,,Other sources,20,110,,55,120,,190,245,,930,1025,,115,155,,2965,,33,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"In this table 0, 1, 2 are rounded to 0. All other numbers are rounded up or down to the nearest 5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# see relevant footnote in Notes on Tables.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copyright © Higher Education Statistics Agency Ltd 2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
