,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 15 - Full-time and Part-time Academic Staff by Location of Institution, Principal Source of Salary, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical Status and Primary Employment Function 2000/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,England,Wales,Scotland,Northern Ireland,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Full-time ,,,,93670,5790,14045,2900,116405,,1,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,Wholly institutionally financed ,,,64880,4415,9080,2060,80435,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,Non-clinical ,,63135,4305,8750,2050,78245,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,Teaching only,3570,780,815,45,5215,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,Research only,6065,440,860,210,7575,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,Teaching & research,53500,3085,7075,1795,65455,,6,
7,,,,Clinical,,1740,110,330,10,2190,,7,
8,,,,,Teaching only,10,0,10,0,15,,8,
9,,,,,Research only,135,15,15,0,165,,9,
10,,,,,Teaching & research,1600,95,305,10,2010,,10,
,,,,,,,,,,,,,
11,,,All other sources of finance ,,,28795,1375,4965,835,35970,,11,
,,,,,,,,,,,,,
12,,,,Non-clinical ,,25735,1265,4580,715,32290,,12,
13,,,,,Teaching only,600,40,100,105,850,,13,
14,,,,,Research only,21095,1125,3870,560,26655,,14,
15,,,,,Teaching & research,4035,95,610,45,4785,,15,
16,,,,Clinical,,3060,110,385,125,3680,,16,
17,,,,,Teaching only,10,0,5,0,15,,17,
18,,,,,Research only,1370,25,175,35,1605,,18,
19,,,,,Teaching & research,1680,85,205,85,2055,,19,
,,,,,,,,,,,,,
20,,Part-time ,,,,20385,815,2115,215,23535,,20,
,,,,,,,,,,,,,
21,,,Wholly institutionally financed ,,,14260,650,1480,155,16540,,21,
,,,,,,,,,,,,,
22,,,,Non-clinical ,,13840,635,1440,150,16060,,22,
23,,,,,Teaching only,4850,385,515,45,5790,,23,
24,,,,,Research only,1585,60,175,20,1845,,24,
25,,,,,Teaching & research,7400,190,750,85,8430,,25,
26,,,,Clinical,,420,10,40,5,475,,26,
27,,,,,Teaching only,50,0,5,0,55,,27,
28,,,,,Research only,55,5,5,0,65,,28,
29,,,,,Teaching & research,315,10,30,5,360,,29,
,,,,,,,,,,,,,
30,,,All other sources of finance ,,,6130,170,635,60,6995,,30,
,,,,,,,,,,,,,
31,,,,Non-clinical ,,5405,155,610,55,6225,,31,
32,,,,,Teaching only,240,15,25,5,290,,32,
33,,,,,Research only,4465,130,525,45,5165,,33,
34,,,,,Teaching & research,695,10,60,5,770,,34,
35,,,,Clinical,,725,15,25,5,770,,35,
36,,,,,Teaching only,25,0,0,0,25,,36,
37,,,,,Research only,385,5,15,5,410,,37,
38,,,,,Teaching & research,315,10,10,5,335,,38,
,,,,,,,,,,,,,
39,,All modes,,,,114060,6605,16160,3115,139940,,39,
,,,,,,,,,,,,,
40,,,Wholly institutionally financed ,,,79135,5065,10560,2215,96975,,40,
,,,,,,,,,,,,,
41,,,,Non-clinical ,,76975,4945,10190,2200,94310,,41,
42,,,,,Teaching only,8425,1165,1330,85,11005,,42,
43,,,,,Research only,7650,500,1035,230,9420,,43,
44,,,,,Teaching & research,60905,3275,7825,1880,73885,,44,
45,,,,Clinical,,2160,120,370,15,2665,,45,
46,,,,,Teaching only,60,0,10,0,70,,46,
47,,,,,Research only,190,15,25,0,230,,47,
48,,,,,Teaching & research,1915,105,335,15,2365,,48,
,,,,,,,,,,,,,
49,,,All other sources of finance ,,,34920,1540,5605,900,42965,,49,
,,,,,,,,,,,,,
50,,,,Non-clinical ,,31140,1420,5190,770,38515,,50,
51,,,,,Teaching only,845,55,125,115,1140,,51,
52,,,,,Research only,25565,1255,4400,605,31820,,52,
53,,,,,Teaching & research,4730,105,665,50,5555,,53,
54,,,,Clinical,,3785,125,410,130,4450,,54,
55,,,,,Teaching only,30,0,10,0,40,,55,
56,,,,,Research only,1755,30,190,40,2015,,56,
57,,,,,Teaching & research,1995,95,210,90,2390,,57,
,,,,,,,,,,,,

"In this table 0, 1, 2 are rounded to 0. All other numbers are rounded up or down to the nearest 5.",,,,,,,,,,,,
,,,,,,,,,,,,
Copyright © Higher Education Statistics Agency Ltd 2002,,,,,,,,,,,,
