,,,,,,,,,,,,,,,,
"Table 16 - Full-time Academic Staff by Departmental Group, Grade(#9), Primary Employment Function and Gender 2000/01",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
United Kingdom ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Teaching/Teaching & Research,,,,Research only,,,,Total,,,,
,,,,Female,Male,Total,,Female,Male,Total,,Female,Male,Total,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,,"Medicine, dentistry & health",,8070,9610,17685,,6490,5435,11925,,14560,15045,29605,,1
2,,,Professors,475,2185,2660,,15,30,50,,490,2215,2710,,2
3,,,Senior lecturers & researchers,1705,2965,4670,,140,245,385,,1845,3210,5055,,3
4,,,Lecturers,4820,3665,8480,,355,565,925,,5175,4230,9405,,4
5,,,Researchers,115,65,180,,5565,4040,9610,,5680,4110,9790,,5
6,,,Other grades,960,730,1690,,410,550,960,,1370,1280,2650,,6
,,,,,,,,,,,,,,,,
7,,"Agriculture, forestry & veterinary science",,335,940,1275,,410,620,1030,,745,1560,2305,,7
8,,,Professors,20,130,150,,0,10,15,,20,140,160,,8
9,,,Senior lecturers & researchers,40,195,240,,5,30,35,,50,225,275,,9
10,,,Lecturers,220,495,720,,5,15,20,,230,510,740,,10
11,,,Researchers,30,55,85,,385,545,925,,415,600,1010,,11
12,,,Other grades,25,60,85,,10,20,30,,35,80,115,,12
,,,,,,,,,,,,,,,,
13,,"Biological, mathematical & physical sciences",,2215,11065,13280,,3920,7945,11865,,6140,19010,25150,,13
14,,,Professors,150,2545,2695,,15,60,75,,165,2605,2770,,14
15,,,Senior lecturers & researchers,480,3465,3945,,35,185,220,,510,3650,4165,,15
16,,,Lecturers,1355,4385,5740,,80,190,270,,1435,4575,6010,,16
17,,,Researchers,110,210,320,,3715,7300,11015,,3825,7510,11340,,17
18,,,Other grades,125,460,580,,75,210,290,,200,670,870,,18
,,,,,,,,,,,,,,,,
19,,Engineering & technology,,1110,8895,10005,,980,4815,5795,,2090,13710,15800,,19
20,,,Professors,40,1480,1520,,5,25,25,,45,1500,1545,,20
21,,,Senior lecturers & researchers,235,2540,2775,,10,115,125,,245,2650,2900,,21
22,,,Lecturers,745,4240,4985,,20,115,130,,760,4355,5115,,22
23,,,Researchers,40,170,210,,890,4350,5245,,935,4520,5455,,23
24,,,Other grades,55,465,520,,55,215,270,,105,680,790,,24
,,,,,,,,,,,,,,,,
25,,Architecture & planning,,300,1330,1625,,145,295,435,,440,1620,2065,,25
26,,,Professors,15,175,190,,0,15,15,,15,185,200,,26
27,,,Senior lecturers & researchers,70,385,455,,0,10,10,,70,395,465,,27
28,,,Lecturers,180,670,850,,5,15,25,,190,685,875,,28
29,,,Researchers,5,15,20,,130,235,365,,130,250,385,,29
30,,,Other grades,30,85,115,,10,15,25,,40,100,140,,30
,,,,,,,,,,,,,,,,
31,,"Administrative, business & social studies",,5330,12125,17455,,1390,1505,2895,,6720,13630,20355,,31
32,,,Professors,385,2315,2700,,15,60,80,,400,2375,2775,,32
33,,,Senior lecturers & researchers,1085,3200,4285,,40,95,140,,1125,3300,4425,,33
34,,,Lecturers,3465,5905,9370,,45,40,85,,3505,5945,9455,,34
35,,,Researchers,90,100,190,,1210,1220,2430,,1300,1325,2620,,35
36,,,Other grades,310,600,910,,80,85,165,,390,685,1075,,36
,,,,,,,,,,,,,,,,
37,,Language based studies,,2120,2760,4880,,150,150,300,,2270,2910,5180,,37
38,,,Professors,150,605,755,,5,5,10,,155,610,765,,38
39,,,Senior lecturers & researchers,390,815,1210,,5,5,10,,395,820,1215,,39
40,,,Lecturers,1205,1135,2345,,10,10,15,,1215,1145,2360,,40
41,,,Researchers,15,20,35,,120,125,245,,130,145,275,,41
42,,,Other grades,360,180,540,,15,10,20,,370,190,560,,42
,,,,,,,,,,,,,,,,
43,,Other arts,,2400,5595,7995,,370,535,905,,2770,6130,8900,,43
44,,,Professors,155,890,1050,,10,15,25,,165,910,1070,,44
45,,,Senior lecturers & researchers,490,1565,2055,,5,25,30,,500,1590,2085,,45
46,,,Lecturers,1560,2765,4330,,15,30,45,,1575,2795,4375,,46
47,,,Researchers,25,55,80,,300,420,725,,325,475,800,,47
48,,,Other grades,165,315,485,,40,45,85,,205,360,565,,48
,,,,,,,,,,,,,,,,
49,,Education,,2520,3070,5590,,335,235,565,,2855,3305,6160,,49
50,,,Professors,110,350,460,,5,5,10,,115,355,470,,50
51,,,Senior lecturers & researchers,565,810,1375,,20,20,35,,585,830,1410,,51
52,,,Lecturers,1660,1690,3350,,20,10,30,,1680,1705,3380,,52
53,,,Researchers,35,20,55,,280,180,455,,310,200,510,,53
54,,,Other grades,155,195,350,,10,20,30,,165,215,380,,54
,,,,,,,,,,,,,,,,
55,,Academic services,,175,190,365,,75,90,165,,250,280,530,,55
56,,,Professors,5,15,20,,0,0,0,,5,20,20,,56
57,,,Senior lecturers & researchers,20,35,55,,0,0,5,,25,35,60,,57
58,,,Lecturers,80,80,160,,0,5,5,,85,80,165,,58
59,,,Researchers,5,0,5,,70,65,140,,75,65,140,,59
60,,,Other grades,65,65,130,,0,15,15,,65,80,145,,60
,,,,,,,,,,,,,,,,
61,,Administration & central services,,95,145,240,,55,70,125,,150,215,360,,61
62,,,Professors,0,35,35,,0,0,0,,0,35,35,,62
63,,,Senior lecturers & researchers,25,30,55,,0,0,0,,25,30,55,,63
64,,,Lecturers,45,30,75,,0,0,5,,45,30,75,,64
65,,,Researchers,5,0,10,,50,60,110,,55,65,120,,65
66,,,Other grades,20,45,65,,0,5,5,,20,50,70,,66
,,,,,,,,,,,,,,,,
67,,Premises,,0,0,0,,0,0,0,,0,0,0,,67
68,,,Professors,0,0,0,,0,0,0,,0,0,0,,68
69,,,Senior lecturers & researchers,0,0,0,,0,0,0,,0,0,0,,69
70,,,Lecturers,0,0,0,,0,0,0,,0,0,0,,70
71,,,Researchers,0,0,0,,0,0,0,,0,0,0,,71
72,,,Other grades,0,0,0,,0,0,0,,0,0,0,,72
,,,,,,,,,,,,,,,,
73,,Residences & catering,,0,0,0,,0,0,0,,0,0,0,,73
74,,,Professors,0,0,0,,0,0,0,,0,0,0,,74
75,,,Senior lecturers & researchers,0,0,0,,0,0,0,,0,0,0,,75
76,,,Lecturers,0,0,0,,0,0,0,,0,0,0,,76
77,,,Researchers,0,0,0,,0,0,0,,0,0,0,,77
78,,,Other grades,0,0,0,,0,0,0,,0,0,0,,78
,,,,,,,,,,,,,,,,
79,,All academic staff,,24675,55730,80405,,14315,21690,36005,,38990,77415,116405,,79
80,,,Professors,1505,10725,12230,,70,230,300,,1575,10960,12530,,80
