"Table 17 - Full-time Non-clinical Wholly Institutionally Financed Staff by Departmental Group, Grade(#9) and Age 2000/01",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,25 & under,26               -30,31            -35,36           -40,41                  -45,46                -50,51               -55,56                  -60,61               -65,66,Un-  known,Total,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1,,"Medicine, dentistry & health",,220,865,1395,1925,2300,2275,1960,860,260,15,5,12085,,1
2,,,Professors,0,0,5,75,195,310,335,215,85,5,0,1230,,2
3,,,Senior lecturers & researchers,0,10,125,390,590,610,590,305,80,5,0,2710,,3
4,,,Lecturers,15,395,915,1170,1235,1065,775,270,80,5,0,5920,,4
5,,,Researchers,175,410,290,175,110,95,55,15,5,0,0,1335,,5
6,,,Other grades,25,50,60,110,170,195,205,55,10,0,0,890,,6
,,,,,,,,,,,,,,,,,
7,,"Agriculture, forestry & veterinary science",,30,150,255,250,245,255,240,130,45,0,0,1595,,7
8,,,Professors,0,0,0,10,15,25,45,35,10,0,0,145,,8
9,,,Senior lecturers & researchers,0,0,10,30,45,55,60,30,15,0,0,250,,9
10,,,Lecturers,10,65,150,140,110,105,70,35,10,0,0,695,,10
11,,,Researchers,15,75,80,60,60,50,50,25,5,0,0,420,,11
12,,,Other grades,5,10,15,5,10,15,15,10,5,0,0,85,,12
,,,,,,,,,,,,,,,,,
13,,"Biological, mathematical & physical sciences",,255,1210,2075,2310,2025,1955,2125,1735,775,60,0,14520,,13
14,,,Professors,0,0,35,185,375,530,615,555,300,30,0,2625,,14
15,,,Senior lecturers & researchers,0,15,225,590,690,655,775,665,290,10,0,3920,,15
16,,,Lecturers,30,550,1335,1240,750,595,555,380,135,10,0,5575,,16
17,,,Researchers,185,595,420,235,150,90,80,40,15,0,0,1810,,17
18,,,Other grades,35,50,65,60,65,80,105,95,30,10,0,590,,18
,,,,,,,,,,,,,,,,,
19,,Engineering & technology,,235,765,1395,1740,1690,1605,1750,1200,485,35,0,10895,,19
20,,,Professors,0,0,15,140,210,290,360,310,155,10,0,1490,,20
21,,,Senior lecturers & researchers,0,15,180,405,500,520,610,400,140,5,0,2770,,21
22,,,Lecturers,40,400,895,930,820,645,620,380,140,10,0,4880,,22
23,,,Researchers,155,315,275,215,100,65,60,35,15,5,0,1230,,23
24,,,Other grades,40,35,30,55,65,85,100,75,30,5,0,525,,24
,,,,,,,,,,,,,,,,,
25,,Architecture & planning,,20,80,170,250,270,290,395,195,50,5,0,1725,,25
26,,,Professors,0,0,0,10,25,35,65,40,15,0,0,195,,26
27,,,Senior lecturers & researchers,0,0,25,65,65,90,125,70,20,0,0,455,,27
28,,,Lecturers,0,30,115,150,155,145,165,70,15,0,0,845,,28
29,,,Researchers,20,40,20,20,10,5,5,5,0,0,0,120,,29
30,,,Other grades,0,10,10,10,10,15,35,10,5,0,0,110,,30
,,,,,,,,,,,,,,,,,
31,,"Administrative, business & social studies",,185,1335,2580,2645,2625,3000,3305,1610,525,25,10,17850,,31
