Table 19a - Summaries of Full-time Academic Staff in all UK Institutions ,,,,,,,,,,,,,,,,,,,
"by Clinical Status, Primary Employment Function and Principal Source of Salary 2000/01",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,Teaching/Teaching                    & Research,,,Research only,,,Non-clinical,,,Clinical,,,Total,,,
,,,,,,,,,,,,,,,,,,,
,,,,Wholly institut-          ionally financed,All other sources of finance,,Wholly institut-        ionally financed,All other sources of finance,,Wholly institut-          ionally financed,All other sources of finance,,Wholly institut-          ionally financed,All other sources of finance,,Wholly institut-          ionally financed,All other sources of finance,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,,Total UK,,72695,7710, ,7740,28260,,78245,32290,0,2190,3680,,80435,35970,,1
,,,,,,,,,,,,,,,,,,,
2,,Total England,,58680,6325,0,6200,22470,,63135,25735,0,1740,3060,,64880,28795,,2
3,,,Anglia Polytechnic University,590,0,,15,0,,605,0,,0,0,,605,0,,3
4,,,Aston University,280,5,,25,65,,300,70,,0,0,,300,70,,4
5,,,Bath Spa University College,135,0,,5,0,,140,0,,0,0,,140,0,,5
6,,,The University of Bath,450,25,,5,285,,455,305,,0,10,,455,310,,6
7,,,Birkbeck College,275,0,,90,0,,365,0,,0,0,,365,0,,7
8,,,The University of Birmingham,1180,195,,140,985,,1275,985,,50,195,,1325,1180,,8
9,,,Bishop Grosseteste College,35,0,,0,0,,35,0,,0,0,,35,0,,9
10,,,Bolton Institute of Higher Education,230,50,,0,5,,230,60,,0,0,,230,60,,10
11,,,Bournemouth University,410,0,,55,10,,465,10,,0,0,,465,10,,11
12,,,The University of Bradford,435,30,,45,90,,480,120,,0,0,,480,120,,12
13,,,Bretton Hall College of HE,90,0,,0,0,,90,0,,0,0,,90,0,,13
14,,,The University of Brighton,560,20,,20,80,,585,100,,0,0,,585,100,,14
15,,,The University of Bristol,940,145,,95,845,,945,855,,90,135,,1040,990,,15
16,,,Brunel University,495,0,,75,100,,570,100,,0,0,,570,100,,16
17,,,Buckinghamshire Chilterns University College,225,55,,10,10,,230,65,,0,0,,230,65,,17
18,,,The University of Cambridge,1270,265,,45,2430,,1280,2495,,35,195,,1315,2695,,18
19,,,The Institute of Cancer Research(#1),75,25,,180,215,,235,210,,25,30,,260,245,,19
20,,,Canterbury Christ Church University College,345,0,,0,0,,350,0,,0,0,,350,0,,20
21,,,The University of Central England in Birmingham,550,180,,25,45,,570,230,,0,0,,570,230,,21
