"Table 19b - Summaries of Academic Staff in all UK Institutions by Age, Gender and Mode of Employment 2000/01",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Full-time Staff,,,,,,,Part-time Staff,,,,,,,,,
,,,,Age,,,,Gender,,,,Age,,,,Gender,,,,,,
,,,,Average age(#10),% < 35 years,% >= 55 years,,Female,Male,Total ,,Average age(#10),% < 35 years,% >= 55 years,,Female,Male,Total ,,Total,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1,,Total UK,,42,31%,13%,,38990,77415,116405,,43,27%,19%,,12230,11305,23535,,139940,,1
,,,,,,,,,, ,,,,,,,, ,,,,
2,,Total England,,42,31%,13%,,31590,62085,93670,,43,27%,19%,,10445,9940,20385,,114060,,2
3,,,Anglia Polytechnic University,47,8%,20%,,250,355,610,,47,14%,25%,,55,30,85,,695,,3
4,,,Aston University,42,31%,17%,,95,275,375,,44,..,..,,20,20,45,,415,,4
5,,,Bath Spa University College,46,9%,17%,,50,90,140,,44,22%,16%,,40,50,90,,230,,5
6,,,The University of Bath,39,39%,9%,,180,585,765,,48,17%,34%,,40,50,90,,855,,6
7,,,Birkbeck College,42,29%,15%,,130,235,365,,43,20%,19%,,45,45,90,,460,,7
8,,,The University of Birmingham,39,41%,11%,,780,1720,2500,,48,14%,38%,,125,150,275,,2780,,8
9,,,Bishop Grosseteste College,47,..,..,,20,15,35,,57,..,..,,5,5,10,,45,,9
10,,,Bolton Institute of Higher Education,47,6%,17%,,75,210,290,,46,..,..,,10,10,20,,310,,10
11,,,Bournemouth University,43,24%,12%,,170,310,475,,47,13%,29%,,85,85,170,,645,,11
12,,,The University of Bradford,44,21%,19%,,165,435,600,,45,15%,18%,,35,25,60,,660,,12
13,,,Bretton Hall College of HE,47,14%,19%,,35,60,90,,46,..,..,,10,10,20,,110,,13
14,,,The University of Brighton,45,18%,17%,,285,395,685,,45,16%,17%,,100,60,155,,840,,14
15,,,The University of Bristol,38,44%,10%,,620,1410,2030,,44,23%,22%,,150,80,230,,2260,,15
16,,,Brunel University,41,30%,11%,,215,460,675,,50,14%,44%,,55,75,135,,805,,16
17,,,Buckinghamshire Chilterns University College,44,17%,11%,,110,185,295,,44,22%,18%,,45,40,85,,385,,17
18,,,The University of Cambridge,38,49%,11%,,1220,2790,4005,,43,28%,20%,,205,130,330,,4340,,18
19,,,The Institute of Cancer Research(#1),36,54%,4%,,255,245,505,,41,..,..,,30,5,40,,540,,19
20,,,Canterbury Christ Church University College,45,13%,15%,,160,190,350,,46,14%,24%,,70,45,115,,465,,20
21,,,The University of Central England in Birmingham,45,14%,17%,,285,515,800,,46,13%,22%,,80,75,155,,955,,21
22,,,The University of Central Lancashire,44,16%,10%,,305,470,775,,41,30%,8%,,80,50,130,,905,,22
23,,,Central School of Speech and Drama,42,..,..,,10,20,30,,44,..,..,,10,5,15,,40,,23
24,,,Chester College of HE,45,15%,12%,,110,110,220,,43,..,..,,20,10,30,,250,,24
