,,,,,,,,,,,,,,,,,,
Table 20a - Inflow and Outflow of Full-time Wholly Institutionally Financed Academic Staff ,,,,,,,,,,,,,,,,,,
"by Clinical Status, Employment in Previous Year, Destination, Grade(#9) and Primary Employment Function 2000/01",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,, ,
,,,,,,,,,,,,,,,,,,
,,,,,,Teaching/                Teaching                           & research,Research                    only,,Professors,Senior lecturers                                & researchers,Lecturers,Researchers,Other          grades,,Total,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,,Employment in the previous year,,,,72695,7740,,11480,19750,37620,6670,4915,,80435,,1,
,,,,,,,,,,,,,,,,,,
2,,,Non-clinical,,,70670,7575,,10635,19110,37080,6665,4755,,78245,,2,
3,,,,Current institution,,64450,5905,,9975,18405,32720,5080,4180,,70355,,3,
4,,,,UK other HEI,,2570,285,,395,385,1700,265,105,,2850,,4,
,,,,,,,,,,,,,,,,,,
5,,,,Total inflow,,3650,1385,,265,320,2665,1315,470,,5035,,5,
6,,,,,UK,1900,725,,60,120,1545,690,210,,2625,,6,
7,,,,,   Other education institution,615,50,,20,40,515,50,40,,665,,7,
8,,,,,   Student,340,340,,5,5,275,335,55,,675,,8,
9,,,,,   Public sector,475,135,,25,40,385,120,45,,610,,9,
10,,,,,   Private sector,470,205,,10,35,370,185,70,,675,,10,
11,,,,,Overseas,900,295,,140,105,590,275,85,,1195,,11,
12,,,,,   Other HEI,615,135,,120,75,400,120,30,,750,,12,
13,,,,,   Research institute,105,60,,10,10,85,60,0,,165,,13,
14,,,,,   Student,75,45,,0,0,40,50,30,,125,,14,
15,,,,,   Other employment,105,50,,10,15,70,45,20,,155,,15,
16,,,,,Not in regular employment,45,30,,0,0,35,25,10,,70,,16,
17,,,,,Not known,805,340,,65,95,495,325,165,,1145,,17,
,,,,,,,,,,,,,,,,,,
18,,,Clinical ,,,2025,165,,840,640,535,10,160,,2190,,18,
19,,,,Current institution,,1800,120,,795,585,405,5,130,,1920,,19,
20,,,,UK other HEI,,50,5,,25,15,10,0,5,,55,,20,
,,,,,,,,,,,,,,,,,,
21,,,,Total inflow,,175,40,,20,45,125,0,25,,215,,21,
22,,,,,UK,125,30,,10,35,90,0,15,,160,,22,
23,,,,,   Other education institution,5,0,,0,0,5,0,0,,5,,23,
24,,,,,   Student,0,0,,0,0,0,0,0,,0,,24,
25,,,,,   Public sector,115,30,,10,35,85,0,15,,145,,25,
26,,,,,   Private sector,5,0,,0,0,5,0,0,,5,,26,
27,,,,,Overseas,15,5,,5,5,10,0,5,,25,,27,
28,,,,,   Other HEI,10,0,,0,5,5,0,0,,10,,28,
29,,,,,   Research institute,5,0,,0,0,0,0,0,,5,,29,
30,,,,,   Student,0,0,,0,0,0,0,0,,0,,30,
31,,,,,   Other employment,5,5,,0,0,0,0,5,,5,,31,
32,,,,,Not in regular employment,0,0,,0,0,0,0,0,,0,,32,
33,,,,,Not known,30,5,,5,0,20,0,5,,30,,33,
,,,,,,,,,,,,,,,,,,
34,,Destination ,,,,72695,7740,,11480,19750,37620,6670,4915,,80435,,34,
