Table 20b - Inflow and Outflow of Full-time Wholly Institutionally Financed Academic Staff ,,,,,,,,,,,,,,,,
"by Clinical Status, Age, Grade(#9) and Primary Employment Function 2000/01",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,
,,,,,Teaching/    Teaching         & research,Research only,,Professors,Senior lecturers & researchers,Lecturers,Researchers,Other              grades,,Total ,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,,Total Inflow ,,,3825,1425,,285,365,2785,1320,495,,5250,,1
,,,,,,,,,,,,,,,,
2,,,Non-clinical ,,3650,1385,,265,320,2665,1315,470,,5035,,2
3,,,,Under 21,10,5,,0,0,0,5,10,,15,,3
4,,,,21-25,200,320,,0,0,85,320,115,,525,,4
5,,,,26-30,625,445,,0,10,545,425,95,,1070,,5
6,,,,31-35,825,270,,10,45,710,260,70,,1095,,6
7,,,,36-40,695,155,,40,85,535,140,50,,850,,7
8,,,,41-45,570,85,,60,85,390,80,40,,655,,8
9,,,,46-50,375,50,,55,55,235,45,40,,425,,9
10,,,,51-55,240,35,,60,25,125,30,35,,275,,10
11,,,,56-60,85,15,,30,15,35,15,5,,100,,11
12,,,,61-65,15,0,,10,0,5,0,5,,20,,12
13,,,,66 +,5,0,,0,0,0,0,5,,5,,13
14,,,,Unknown,5,0,,0,0,0,0,0,,5,,14
,,,,,,,,,,,,,,,,
15,,,Clinical,,175,40,,20,45,125,0,25,,215,,15
16,,,,Under 21,0,0,,0,0,0,0,0,,0,,16
17,,,,21-25,10,0,,0,0,10,0,0,,10,,17
18,,,,26-30,30,20,,0,0,40,0,10,,50,,18
19,,,,31-35,60,10,,0,10,50,0,10,,70,,19
20,,,,36-40,40,5,,5,15,20,0,0,,40,,20
21,,,,41-45,15,0,,5,10,0,0,0,,15,,21
22,,,,46-50,5,0,,5,0,0,0,0,,10,,22
23,,,,51-55,10,0,,5,0,0,0,0,,10,,23
24,,,,56-60,5,0,,0,0,0,0,0,,5,,24
25,,,,61-65,5,0,,0,0,0,0,0,,5,,25
26,,,,66 +,0,0,,0,0,0,0,0,,0,,26
27,,,,Unknown,0,0,,0,0,0,0,0,,0,,27
,,,,,,,,,,,,,,,,
28,,Total Outflow ,,,4570,1580,,465,1015,2605,1485,575,,6150,,28
,,,,,,,,,,,,,,,,
29,,,Non-clinical ,,4345,1530,,410,965,2480,1480,535,,5870,,29
30,,,,Under 21,5,5,,0,0,0,5,5,,10,,30
31,,,,21-25,110,185,,0,0,35,180,80,,295,,31
32,,,,26-30,345,515,,0,5,235,530,85,,860,,32
33,,,,31-35,560,330,,0,30,470,325,65,,895,,33
34,,,,36-40,505,190,,10,75,370,175,60,,695,,34
35,,,,41-45,510,110,,35,100,330,105,45,,615,,35
36,,,,46-50,420,75,,50,115,235,65,30,,490,,36
37,,,,51-55,545,60,,65,150,280,50,60,,605,,37
38,,,,56-60,680,35,,95,255,275,30,60,,715,,38
39,,,,61-65,605,25,,125,210,240,10,40,,625,,39
40,,,,66 +,60,0,,25,20,15,0,5,,65,,40
41,,,,Unknown,5,5,,0,0,0,5,5,,10,,41
,,,,,,,,,,,,,,,,
42,,,Clinical ,,225,50,,55,50,125,5,40,,275,,42
43,,,,Under 21,0,0,,0,0,0,0,0,,0,,43
44,,,,21-25,5,0,,0,0,5,0,0,,5,,44
45,,,,26-30,10,15,,0,0,15,5,5,,25,,45
46,,,,31-35,55,25,,0,5,60,0,10,,80,,46
47,,,,36-40,40,5,,5,10,30,0,5,,45,,47
48,,,,41-45,25,5,,5,10,5,0,10,,30,,48
49,,,,46-50,10,0,,0,5,5,0,0,,10,,49
50,,,,51-55,15,0,,5,5,0,0,5,,20,,50
51,,,,56-60,25,0,,15,5,0,0,0,,25,,51
52,,,,61-65,30,0,,25,5,0,0,0,,35,,52
53,,,,66 +,5,0,,0,0,0,0,0,,5,,53
54,50,,,Unknown,0,0,,0,0,0,0,0,,0,,54
 ,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
"In this table 0, 1, 2 are rounded to 0. All other numbers are rounded up or down to the nearest 5.",,,,,,,,,,,,,,,,
# see relevant footnote in Notes on Tables.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Copyright © Higher Education Statistics Agency Ltd 2002,,,,,,,,,,,,,,,,
