,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 21 - All Academic Staff by Mode of Employment, Primary Employment Function, Gender and Ethnicity 2000/01",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,White,,Total of ethnic minorities,,Black Caribbean,Black African,Black other,Indian,Pakistani,Bangladeshi,Chinese,Asian other,Other,,Total of known ethnicity,,Information refused,Total,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,UK nationality ,,,,92840,,4825,,340,270,175,1080,325,90,575,555,1410,,97665,,10675,108335,,1
,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,Full-time ,,,77480,,4065,,280,235,155,880,265,75,515,470,1190,,81545,,8700,90250,,2
3,,,,Teaching only,,4865,,160,,20,15,10,25,10,0,10,20,55,,5025,,245,5270,,3
4,,,,,Female,2100,,50,,10,5,5,10,0,0,0,0,15,,2150,,110,2260,,4
5,,,,,Male,2760,,115,,5,10,5,15,5,0,5,20,40,,2875,,135,3010,,5
6,,,,Research only,,18500,,1400,,60,75,40,375,135,45,235,140,305,,19900,,3690,23590,,6
7,,,,,Female,7685,,605,,35,30,30,165,65,25,85,70,105,,8290,,1365,9655,,7
8,,,,,Male,10815,,795,,25,45,15,205,70,20,145,70,200,,11610,,2320,13935,,8
9,,,,Teaching & research,,54120,,2505,,200,150,100,485,125,30,275,310,835,,56620,,4765,61390,,9
10,,,,,Female,15930,,780,,115,45,40,150,25,5,75,90,230,,16710,,1060,17775,,10
11,,,,,Male,38185,,1725,,85,100,60,335,95,25,195,220,605,,39910,,3705,43615,,11
,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,Part-time ,,,15360,,760,,60,35,25,200,60,15,60,85,220,,16115,,1970,18090,,12
13,,,,Teaching only,,3850,,130,,15,10,5,25,5,0,0,20,40,,3980,,470,4450,,13
14,,,,,Female,1875,,70,,10,5,5,10,5,0,0,15,20,,1945,,230,2175,,14
15,,,,,Male,1975,,60,,5,10,0,10,0,0,0,10,20,,2035,,240,2275,,15
16,,,,Research only,,4100,,370,,15,20,10,115,40,15,45,30,80,,4470,,870,5335,,16
17,,,,,Female,2465,,200,,10,10,5,65,25,5,20,20,40,,2660,,480,3140,,17
18,,,,,Male,1635,,170,,5,10,0,55,15,5,25,10,40,,1805,,390,2195,,18
19,,,,Teaching & research,,7410,,260,,30,10,10,60,10,0,15,30,100,,7670,,635,8300,,19
20,,,,,Female,3675,,150,,20,5,10,25,5,0,10,20,50,,3820,,270,4095,,20
21,,,,,Male,3735,,110,,10,5,0,30,5,0,5,10,45,,3845,,360,4210,,21
,,,,,,,,,,,,,,,,,,,,,,,,,
22,,Non-UK nationality ,,,,18175,,6145,,115,490,85,930,135,55,2225,850,1255,,24320,,7285,31605,,22
,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,Full-time ,,,15500,,5455,,100,445,80,825,115,50,2025,750,1065,,20955,,5205,26155,,23
24,,,,Teaching only,,490,,125,,5,15,5,15,0,0,20,25,35,,615,,210,825,,24
25,,,,,Female,285,,45,,0,5,0,5,0,0,10,10,15,,330,,115,445,,25
26,,,,,Male,205,,80,,5,15,0,10,0,0,10,15,20,,285,,95,380,,26
27,,,,Research only,,6465,,3130,,25,185,30,415,55,25,1465,455,475,,9595,,2820,12415,,27
28,,,,,Female,2770,,870,,10,30,5,135,15,5,405,120,145,,3640,,1020,4660,,28
29,,,,,Male,3695,,2260,,15,155,25,280,40,20,1060,330,330,,5955,,1800,7755,,29
30,,,,Teaching & research,,8545,,2200,,70,245,50,390,60,25,540,270,555,,10745,,2175,12920,,30
31,,,,,Female,3000,,545,,30,45,15,100,10,0,125,65,145,,3545,,650,4195,,31
32,,,,,Male,5545,,1655,,35,200,35,290,45,20,415,205,410,,7200,,1525,8725,,32
,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,Part-time ,,,2675,,690,,20,40,5,105,20,5,200,100,190,,3365,,2080,5445,,33
34,,,,Teaching only,,490,,110,,5,5,0,15,5,0,15,20,45,,600,,1110,1710,,34
35,,,,,Female,315,,45,,0,0,0,5,0,0,5,10,20,,360,,535,895,,35
36,,,,,Male,170,,65,,0,5,0,10,5,0,10,5,25,,235,,580,815,,36
37,,,,Research only,,1190,,430,,10,25,5,60,15,5,165,60,90,,1620,,525,2145,,37
38,,,,,Female,665,,165,,5,5,0,25,5,0,60,25,30,,825,,255,1080,,38
39,,,,,Male,530,,270,,5,20,0,35,10,5,100,35,60,,795,,270,1065,,39
40,,,,Teaching & research,,995,,150,,5,10,0,30,5,0,25,20,55,,1145,,445,1590,,40
41,,,,,Female,550,,70,,5,5,0,15,0,0,5,10,30,,620,,220,840,,41
42,,,,,Male,445,,80,,0,5,0,15,5,0,15,10,25,,525,,225,750,,42
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"In this table 0, 1, 2 are rounded to 0. All other numbers are rounded up or down to the nearest 5.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Copyright © Higher Education Statistics Agency Ltd 2002,,,,,,,,,,,,,,,,,,,,,,,,,
