Table 7 - Staff Costs of each Institution by Activity 2000/01,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Institutions,,,,,,,,,,,,,,,,,,,,£ Thousands,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Academic Staff Costs,,,,,Other Staff Costs,,,,,,,,,,,,,,,
,,,,Academic       depts,Academic              services,Admin &       central        services,Research              grants &                  contracts,Other expenditure,Total ,,Academic       depts,Academic              services,Admin &       central        services,Premises,Residences & catering ops,Research              grants &                  contracts,Other expenditure,Total ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Total UK,,3444373,42615,72165,786423,117461,4463037,,1021554,497242,821986,343589,257735,268437,237531,3448074,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Total England,,2813339,39022,61033,669451,90933,3673778,,824783,398513,675486,274700,210274,192142,182985,2758883,,2,,,,,,
3,,,Anglia Polytechnic University,21275,592,2240,1093,2342,27542,,4765,2524,4432,729,964,101,3190,16705,,3,,,,,,
4,,,Aston University,12522,106,0,1568,0,14196,,4212,1835,4194,1998,1227,404,1234,15104,,4,,,,,,
5,,,Bath Spa University College,5561,155,310,79,0,6105,,779,524,1714,220,377,2,696,4312,,5,,,,,,
6,,,The University of Bath,19514,281,33,5878,420,26126,,8055,2724,6523,3207,2025,1642,1928,26104,,6
7,,,Birkbeck College,13922,4,144,2208,36,16314,,4265,1434,2321,1158,28,198,52,9456,,7
8,,,The University of Birmingham,63532,421,596,23475,1657,89681,,19210,9097,10089,6600,5681,7550,2167,60394,,8
9,,,Bishop Grosseteste College,1370,0,0,0,0,1370,,96,102,701,200,219,0,121,1439,,9
10,,,Bolton Institute of Higher Education,8634,104,183,204,1428,10553,,1883,1068,2505,742,136,24,765,7123,,10
11,,,Bournemouth University,15876,567,286,690,207,17626,,3818,2446,2563,817,208,129,223,10204,,11
12,,,The University of Bradford,21691,1831,3408,2605,420,29955,,4208,1138,2211,2966,1556,257,594,12930,,12
13,,,Bretton Hall College of HE,3284,0,98,5,64,3451,,507,195,1421,647,404,0,1539,4713,,13
14,,,The University of Brighton,22254,0,0,1925,756,24935,,7918,3473,4837,2599,1356,224,158,20565,,14
15,,,The University of Bristol,48723,286,0,21618,1137,71764,,16935,6453,9462,5131,4043,3963,2929,48916,,15
16,,,Brunel University,22667,57,238,2975,226,26163,,6193,3093,5640,2979,3143,439,484,21971,,16
17,,,Buckinghamshire Chilterns University College,11961,1167,0,207,940,14275,,2489,0,4066,800,1097,262,0,8714,,17
18,,,The University of Cambridge,79358,3481,0,53979,2286,139104,,23922,9209,13894,6829,1315,8002,3042,66213,,18
