,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 8 - Other Operating Costs of each Institution by Activity 2000/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,£ Thousands,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Other Operating Expenses,,,,,,,,,Depreciation,,,,,,,,,Interest Payable,,,,,,,,,,,,,,,,
,,,,Academic depts,Academic services,Admin & central services,Premises,Residences & catering  ops,Research grants & contracts,Other       expen-       diture,Total ,,Academic depts,Academic services,Admin & central services,Premises,Residences & catering ops,Research grants & contracts,Other           expen-                 diture,Total,,Premises,Residences & catering ops,Other      expen-     diture,Total ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Total UK,,1120710,397524,768898,767137,455907,786700,511022,4807898,,94283,45725,39616,242257,60403,83779,48024,614087,,53413,111537,46437,211387,,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Total England,,943001,331618,657097,629676,383056,640005,408894,3993347,,78824,39554,28436,184542,50296,67815,40773,490240,,50273,98115,35662,184050,,2,,,,,,,,,,,
3,,,Anglia Polytechnic University,5262,2307,5064,5658,2670,1071,10645,32677,,69,181,30,1034,399,0,16,1729,,503,1494,0,1997,,3,,,,,,,,,,,
4,,,Aston University,3462,1421,2529,2139,2555,2894,1736,16736,,660,116,116,1370,1025,0,7,3294,,0,805,0,805,,4,,,,,,,,,,,
5,,,Bath Spa University College,2609,389,1315,1016,483,165,1791,7768,,142,221,107,376,150,3,72,1071,,155,18,0,173,,5,,,,,,,,,,,
6,,,The University of Bath,8149,1898,5811,3720,3139,5099,2581,30397,,727,56,76,1740,449,1605,0,4653,,2022,1191,2,3215,,6
7,,,Birkbeck College,3846,792,3176,3174,365,963,48,12364,,256,146,63,482,0,783,0,1730,,0,0,0,0,,7
8,,,The University of Birmingham,26644,5533,8552,8078,8314,15271,9862,82254,,5131,872,566,5541,1300,6876,299,20585,,151,1800,0,1951,,8
9,,,Bishop Grosseteste College,363,93,373,238,385,0,81,1533,,29,59,19,51,31,0,0,189,,0,0,7,7,,9
10,,,Bolton Institute of Higher Education,1205,1009,2690,1353,485,230,633,7605,,143,403,87,544,131,13,12,1333,,51,846,0,897,,10
11,,,Bournemouth University,8711,3158,1477,2720,1489,780,568,18903,,1191,0,1695,0,245,0,0,3131,,1149,0,0,1149,,11
12,,,The University of Bradford,6862,2184,4096,2739,2140,2662,11318,32001,,186,151,59,787,391,245,18,1837,,207,229,0,436,,12
13,,,Bretton Hall College of HE,1065,173,1490,796,693,71,976,5264,,95,12,104,156,144,0,8,519,,6,535,8,549,,13
14,,,The University of Brighton,7662,2532,5085,4642,3921,1291,580,25713,,173,16,82,2850,1133,0,0,4254,,732,1003,0,1735,,14
15,,,The University of Bristol,13160,5279,8323,6161,3725,15940,5551,58139,,2132,183,133,2181,270,1893,24,6816,,0,1141,2011,3152,,15
16,,,Brunel University,4526,3019,5707,6511,3558,2275,2122,27718,,371,553,149,1227,1019,339,4,3662,,28,1129,0,1157,,16
17,,,Buckinghamshire Chilterns University College,5367,912,5266,1374,1585,631,1420,16555,,0,0,679,0,307,0,12,998,,791,0,-43,748,,17
18,,,The University of Cambridge,27546,16538,20651,23377,2655,45344,41180,177291,,4049,384,399,13426,22,5321,86,23687,,0,0,0,0,,18
19,,,The Institute of Cancer Research(#1),4374,342,1609,2042,115,6818,0,15300,,495,49,225,0,0,1066,0,1835,,1401,0,0,1401,,19
