Table 9 - Academic Departmental Cost Centres'(#8) Expenditure of each Institution 2000/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,


UK Institutions,,,,,,,,,,,,,,,,,,,,£ Thousands,,,,,,,,,,,,,,,,,,£ Thousands,,,,,,,,,,,,,,,,,,£ Thousands,,,,,,,,,,,,,,,,,,£ Thousands,,,,,,,,,,,,,,,,,,£ Thousands,,,,,,,,,,,,,,,,,,£ Thousands,,,,,,,,,,,,,,,,,,£ Thousands,,,,,,,,,,,,,,,,,,£ Thousands,,,,,,,,,,,,,,,,,,£ Thousands,,,,,,,,,,,,,,,,,,£ Thousands,,,,,,,,,,,,,,,,,,£ Thousands,,,,,,,,,,,,,,,,,,£ Thousands,,,,,,,,,,,,,,,,,,£ Thousands,,,,,,,,,,,,,,£ Thousands
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,01 Clinical Medicine,,,,,,02 Clinical Dentistry,,,,,,03 Veterinary Science,,,,,,04 Anatomy & Physiology,,,,,,05 Nursing & Paramedical Studies,,,,,,06 Health & Community Studies,,,,,,07 Psychology & Behavioural Sciences,,,,,,08 Pharmacy,,,,,,09 Pharmacology,,,,,,10 Biosciences,,,,,,11 Chemistry,,,,,,12 Physics,,,,,,13 Agriculture & Forestry,,,,,,"14 Earth, Marine & Environmental Sciences",,,,,,15 General Sciences,,,,,,16 General Engineering,,,,,,17 Chemical Engineering,,,,,,"18 Mineral, Metallurgy & Materials Engineering",,,,,,19 Civil Engineering,,,,,,"20 Electrical, Electronic & Computer Engineering",,,,,,"21 Mechanical, Aero & Production Engineering",,,,,,22 Other Technologies,,,,,,"23 Architecture, Built Environment & Planning",,,,,,24 Mathematics,,,,,,25 Information Technology & Systems Sciences,,,,,,26 Catering & Hospitality Management,,,,,,27 Business & Management Studies,,,,,,28 Geography,,,,,,29 Social Studies,,,,,,"30 Librarianship, Communication & Media Studies",,,,,,31 Language Based Studies,,,,,,32 Humanities,,,,,,33 Design & Creative Arts,,,,,,34 Education,,,,,,"35 French, Spanish & German Modern Languages",,,,,,36 Other Modern Languages ,,,,,,37 Archaeology,,,,,,38 Sports Science & Leisure Studies ,,,,,,39 Computer Software Engineering,,,,,,41 Continuing Education,,,,,,Total Academic Departments,,,,,,
,,,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Total UK,,332730,100979,74071,9002,516782,,40305,11059,6506,825,58695,,18506,14052,9521,711,42790,,28710,11607,7642,1186,49145,,230767,70061,74243,3239,378310,,74655,17596,20251,757,113259,,85934,22065,21730,1577,131306,,22415,9248,11603,1108,44374,,8887,4072,2936,214,16109,,193890,87556,70112,9610,361168,,72273,32053,30855,7462,142643,,68153,25147,20916,3756,117972,,28918,15138,12473,957,57486,,72541,26329,29586,3412,131868,,1053,306,284,95,1738,,75954,32319,34956,3469,146698,,16688,8082,6688,652,32110,,23841,12258,9251,2649,47999,,46559,17710,13102,1188,78559,,87976,35260,30859,4708,158803,,79784,36778,30422,3629,150613,,1848,563,803,249,3463,,71299,16352,19033,1123,107807,,91704,13331,15576,1808,122419,,61800,17572,18074,2526,99972,,19272,6402,7718,502,33894,,302363,78644,146296,4846,532149,,46624,12539,12996,795,72954,,305414,50219,64274,2211,422118,,43895,12885,12568,1536,70884,,104077,17315,19908,500,141800,,160917,22514,28558,1072,213061,,189240,62927,59937,7374,319478,,187377,46024,102518,2416,338335,,56357,9674,9201,297,75529,,26172,4773,4602,130,35677,,10847,2364,3359,115,16685,,26063,6647,9252,1148,43110,,98013,26868,33176,5033,163090,,30552,24266,34854,396,90068,,3444373,1021554,1120710,94283,5680920,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Total England,,272801,81160,59716,6579,420256,,31433,9044,5359,732,46568,,10661,6413,3251,370,20695,,23982,10041,6333,1086,41442,,190583,58177,63969,2560,315289,,65583,16328,18315,711,100937,,69320,17257,16893,1396,104866,,18325,7238,9081,1052,35696,,7685,3344,2250,211,13490,,150276,65889,55166,7120,278451,,59236,26168,25436,6759,117599,,55083,19774,16557,3322,94736,,23362,8078,8485,792,40717,,60861,21094,25402,3123,110480,,0,0,0,0,0,,68546,28102,31763,3175,131586,,14116,6790,5778,597,27281,,22303,11134,8487,2479,44403,,34993,13491,10478,787,59749,,68931,26775,24743,3834,124283,,63666,29573,25590,3205,122034,,0,0,0,0,0,,54650,12580,15494,921,83645,,73860,10811,13163,1635,99469,,44323,11656,12957,1605,70541,,13174,4920,5616,439,24149,,245016,65917,129882,3905,444720,,39087,10427,11124,623,61261,,256054,41455,56338,1857,355704,,35479,10731,11186,1400,58796,,74993,11486,15596,444,102519,,128535,18395,23906,925,171761,,163872,56811,52859,6491,280033,,148400,39014,88224,1808,277446,,51936,9295,8837,296,70364,,24664,4355,4434,130,33583,,9149,1970,3105,95,14319,,23262,6233,8631,1040,39166,,92459,24801,31426,4944,153630,,22680,18056,27171,376,68283,,2813339,824783,943001,78824,4659947,,2
3,,,Anglia Polytechnic University,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,738,188,215,2,1143,,4514,992,1066,15,6587,,1203,266,284,3,1756,,369,104,120,2,595,,0,0,0,0,0,,0,0,0,0,0,,392,110,127,1,630,,230,64,75,1,370,,0,0,0,0,0,,0,0,0,0,0,,276,72,78,1,427,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,68,18,15,0,101,,412,112,106,1,631,,342,92,84,1,519,,0,0,0,0,0,,886,236,196,3,1321,,103,29,34,0,166,,525,141,137,2,805,,0,0,0,0,0,,3033,580,738,10,4361,,133,24,20,0,177,,1888,338,365,6,2597,,283,62,64,1,410,,588,111,88,2,789,,648,131,118,2,899,,1303,288,296,5,1892,,1253,289,557,4,2103,,213,39,30,0,282,,95,17,13,1,126,,0,0,0,0,0,,0,0,0,0,0,,1780,462,436,6,2684,,0,0,0,0,0,,21275,4765,5262,69,31371,,3
4,,,Aston University,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,901,279,274,142,1596,,0,0,0,0,0,,0,0,0,0,0,,678,180,235,29,1122,,1629,588,512,124,2853,,0,0,0,0,0,,427,154,134,33,748,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,759,409,183,24,1375,,0,0,0,0,0,,785,320,100,23,1228,,691,279,22,47,1039,,831,233,204,41,1309,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,504,178,20,2,704,,0,0,0,0,0,,3035,1073,1484,130,5722,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,191,53,77,2,323,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1060,224,151,5,1440,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1031,242,66,58,1397,,0,0,0,0,0,,12522,4212,3462,660,20856,,4
5,,,Bath Spa University College,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,74,9,63,2,148,,201,22,164,4,391,,0,0,0,0,0,,0,0,0,0,0,,212,38,55,10,315,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,68,11,20,3,102,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,372,64,103,16,555,,219,39,57,10,325,,150,17,129,3,299,,233,18,94,2,347,,0,0,0,0,0,,659,46,184,6,895,,1956,354,537,54,2901,,1417,161,1203,32,2813,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,5561,779,2609,142,9091,,5
6,,,The University of Bath,54,15,13,3,85,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,626,298,210,28,1162,,473,131,66,0,670,,805,386,399,44,1634,,434,207,210,23,874,,1544,704,534,84,2866,,928,375,309,135,1747,,1056,263,432,74,1825,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,912,364,356,18,1650,,424,167,64,115,770,,343,100,91,2,536,,1096,414,411,51,1972,,1621,774,510,54,2959,,0,0,0,0,0,,513,240,228,3,984,,1390,194,181,0,1765,,0,0,0,0,0,,0,0,0,0,0,,2216,915,1680,14,4825,,0,0,0,0,0,,1290,319,198,0,1807,,0,0,0,0,0,,368,275,67,5,715,,0,0,0,0,0,,0,0,0,0,0,,1178,289,520,9,1996,,736,548,137,5,1426,,368,275,67,0,710,,0,0,0,0,0,,335,111,677,54,1177,,745,121,518,0,1384,,59,570,271,6,906,,19514,8055,8149,727,36445,,6
