Table A - Balance Sheet(#16)(#17),,,,,,,,,,,,,
,,Balance (£M) as at 31 July,,,,,,,,,,,
,,2002,2001,Change , % change,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fixed assets,,,,,,,,,,,,,
,Tangible assets,14806,13810,996,7.2%,,,,,,,,
,Investments,513,566,-52,-9.2%,,,,,,,,
,Total,15319,14376,943,6.6%,,,,,,,,
,,,,,,,,,,,,,
Endowment assets,,,,,,,,,,,,,
,Cash at bank,140,142,-2,-1.2%,,,,,,,,
,Other Investments,2232,2534,-302,-11.9%,,,,,,,,
,Total,2373,2676,-304,-11.3%,,,,,,,,
,,,,,,,,,,,,,
Current assets,,,,,,,,,,,,,
,Stock,66,69,-3,-4.8%,,,,,,,,
,Debtors,1796,1729,66,3.8%,,,,,,,,
,Investments,1547,1419,128,9.1%,,,,,,,,
,Cash at bank & in hand,672,605,67,11.1%,,,,,,,,
,Total,4081,3822,258,6.8%,,,,,,,,
,,,,,,,,,,,,,
Creditors: amounts falling due within one year ,,3269,2923,346,11.8%,,,,,,,,
Net current assets,,812,900,-88,-9.7%,,,,,,,,
Total assets less current liabilities,,18504,17952,552,3.1%,,,,,,,,
Creditors: amounts falling due after more than one year ,,2729,2646,83,3.1%,,,,,,,,
Provisions for liabilities & charges,,420,393,27,6.9%,,,,,,,,
Net Assets,,15355,14913,442,3.0%,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Deferred capital grants,,3810,3273,536,16.4%,,,,,,,,
,,,,,,,,,,,,,
Endowments,,,,,,,,,,,,,
,Specific,1983,2233,-250,-11.2%,,,,,,,,
,General,391,449,-58,-12.9%,,,,,,,,
,Total,2374,2682,-308,-11.5%,,,,,,,,
,,,,,,,,,,,,,
Reserves,,,,,,,,,,,,,
,Revaluation reserve,4389,4380,9,0.2%,,,,,,,,
,Minority interest,45,42,3,5.9%,,,,,,,,
,General reserve,4737,4535,202,4.5%,,,,,,,,
,Total,9171,8957,214,2.4%,,,,,,,,
,,,,,,,,,,,,,
Total,,15355,14913,442,3.0%,,,,,,,,
,,,,,,,,,,,,,
# see relevant footnote in Notes on Tables.,,,,,,,,,,,,,

Copyright © Higher Education Statistics Agency Limited 2003,,,,,,,,,,,,,
