Table D - Sources of Income(#16)(#17),,,,,
,,,£ Thousands,,
,2001/02,2000/2001,% change,,
,,,,,
,,,,,
Funding council grants,5692090,5341317,6.6%,,
Tuition fees & education grants & contracts,3338194,3056585,9.2%,,
Research grants & contracts,2433418,2209572,10.1%,,
Other income,2769047,2600949,6.5%,,
Endowment & investment income,258126,290135,-11.0%,,
Total income,14490875,13498558,7.4%,,
,,,,,
# see relevant footnote in Notes on Tables.,,,,,

Copyright © Higher Education Statistics Agency Limited 2003,,,,,
