"Table L - Full-time Academic Staff in all UK Institutions by Location of Institution, Gender, Prinicipal Source of Salary and Clinical Status 2001/02",,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,
,,,Location of Institution,,,,,,,,,,,,,,,,
,,,England,Wales,Scotland,Northern Ireland,Total,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
All full-time staff,,,96850,5770,14330,2955,119900,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Female,,,33520,1885,4810,1005,41225,,,,,,,,,,,,
,Wholly institutionally financed,,20510,1310,2585,690,25095,,,,,,,,,,,,
,,Non-clinical,20160,1275,2530,685,24650,,,,,,,,,,,,
,,Clinical,355,30,60,5,450,,,,,,,,,,,,
,Other sources of finance,,13010,575,2225,315,16130,,,,,,,,,,,,
,,Non-clinical,12030,560,2095,290,14975,,,,,,,,,,,,
,,Clinical,985,15,130,25,1155,,,,,,,,,,,,
Male,,,63330,3885,9520,1945,78675,,,,,,,,,,,,
,Wholly institutionally financed,,44285,3030,6515,1485,55315,,,,,,,,,,,,
,,Non-clinical,42860,2955,6245,1475,53530,,,,,,,,,,,,
,,Clinical,1430,75,270,10,1785,,,,,,,,,,,,
,Other sources of finance,,19040,855,3005,465,23360,,,,,,,,,,,,
,,Non-clinical,16655,775,2745,370,20545,,,,,,,,,,,,
,,Clinical,2390,80,260,90,2820,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"In this table 0, 1, 2 are rounded to 0. All other numbers are rounded up or down to the nearest 5.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Copyright © Higher Education Statistics Agency Limited 2003,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,
,,
,,
,,

,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
