Table P - Full-time Non-clinical Wholly Institutionally Financed Academic Staff by Grade(#12) and Age 2001/02,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,
,Professors,Senior lecturers & researchers,Lecturers,Researchers,Other grades,Total,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Under 26,0,5,215,720,255,1195,,,,,,,,,,,,,,
26-30,10,85,2945,1735,460,5235,,,,,,,,,,,,,,
31-35,100,1050,6620,1475,485,9730,,,,,,,,,,,,,,
36-40,655,2775,7145,955,495,12020,,,,,,,,,,,,,,
41-45,1375,3490,5760,605,705,11940,,,,,,,,,,,,,,
46-50,2195,3725,5280,420,860,12485,,,,,,,,,,,,,,
51-55,3045,4470,4975,350,1025,13860,,,,,,,,,,,,,,
56-60,2285,2980,2475,180,540,8455,,,,,,,,,,,,,,
61-65,1095,1030,705,55,160,3040,,,,,,,,,,,,,,
66 +,105,50,25,10,25,210,,,,,,,,,,,,,,
Unknown,0,0,5,0,0,10,,,,,,,,,,,,,,
Total,10860,19660,36145,6505,5005,78180,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"In this table 0, 1, 2 are rounded to 0. All other numbers are rounded up or down to the nearest 5.",,,,,,,,,,,,,,,,,,,,
# see relevant footnote in Notes on Tables.,,,,,,,,,,,,,,,,,,,,

Copyright © Higher Education Statistics Agency Limited 2003,,,,,,,,,,,,,,,,,,,,
