Table Q - Full-time Non-Clinical Wholly Institutionally Financed Academic Staff by Employment in the Previous Year and Destination 2001/02,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,,,,,,Total,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Employment in the previous year,,,,,,Destination,,,,,,,,,,,,,,,,,,,
,Non-clinical,,78180,,,,Non-clinical,,78180,,,,,,,,,,,,,,,,
,,Current institution,70295,,,,,Current institution,71485,,,,,,,,,,,,,,,,
,,UK other HEI,2835,,,,,UK other HEI,1050,,,,,,,,,,,,,,,,
,Inflow,,5050,,,,Outflow,,5645,,,,,,,,,,,,,,,,
,,UK ,2705,,,,,UK ,650,,,,,,,,,,,,,,,,
,,Overseas,885,,,,,Overseas,490,,,,,,,,,,,,,,,,
,,Not in regular employment,90,,,,,Not in regular employment,315,,,,,,,,,,,,,,,,
,,Not known,1370,,,,,Retirement,1010,,,,,,,,,,,,,,,,
,,,,,,,,Death,70,,,,,,,,,,,,,,,,
,,,,,,,,Not known,3115,,,,,,,,,,,,,,,,
,,,,,,,,,
"In this table 0, 1, 2 are rounded to 0. All other numbers are rounded up or down to the nearest 5.",,,,,,,,,

Copyright © Higher Education Statistics Agency Limited 2003,,,,,,,,,
