Table 10 - Academic Services and Administration and Central Services Expenditure of each Institution 2001/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Institutions,,,,,,,,,,,,,,,,,,,,£ Thousands,,,,,,,,,,,,,,,,,,£ Thousands,,,,,,,,,,,,,,,,,,,,£ Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,51 Central Libraries & Information Services,,,,,,52 Central Computer & Computer Networks,,,,,,53 Other Academic Services,,,,,,Total Academic Services,,,,,,54a Central Administration & Services,,,,,,54b General Educational Expenditure,,,,,,55 Staff & Student Facilities,,,,,,Total Administration & Central Services,,,,,,Total Academic Services & Administration & Central Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Total UK,,17007,261601,244486,14025,537119,,9836,179603,130943,35776,356158,,16715,103704,78537,3551,202507,,43558,544908,453966,53352,1095784,,65773,660378,461133,34189,1221473,,7371,66406,246931,687,321395,,11615,148968,133592,3296,297471,,84759,875752,841656,38172,1840339,,128317,1420660,1295622,91524,2936123,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Total England,,14894,212527,200985,8786,437192,,9173,146890,108941,29864,294868,,14636,80417,63198,2939,161190,,38703,439834,373124,41589,893250,,57278,543005,396379,27179,1023841,,6430,53095,201257,396,261178,,10543,121241,112441,2678,246903,,74251,717341,710077,30253,1531922,,112954,1157175,1083201,71842,2425172,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,Anglia Polytechnic University,260,1054,874,0,2188,,341,1663,1781,130,3915,,0,0,0,0,0,,601,2717,2655,130,6103,,2518,4466,4514,0,11498,,0,0,0,0,0,,332,1012,900,0,2244,,2850,5478,5414,0,13742,,3451,8195,8069,130,19845,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,Aston University,0,803,858,55,1716,,0,1531,502,33,2066,,60,181,288,82,611,,60,2515,1648,170,4393,,0,4142,1752,184,6078,,0,133,530,5,668,,0,820,750,20,1590,,0,5095,3032,209,8336,,60,7610,4680,379,12729,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,Bath Spa University College,163,215,125,18,521,,0,342,466,95,903,,0,0,0,0,0,,163,557,591,113,1424,,330,1085,776,47,2238,,0,617,640,21,1278,,0,311,60,0,371,,330,2013,1476,68,3887,,493,2570,2067,181,5311,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,The University of Bath,163,1560,1872,11,3606,,0,1027,469,79,1575,,40,937,22,15,1014,,203,3524,2363,105,6195,,122,5114,1991,36,7263,,0,599,2854,0,3453,,38,1801,1559,101,3499,,160,7514,6404,137,14215,,363,11038,8767,242,20410,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,Birkbeck College,0,934,707,0,1641,,0,467,431,181,1079,,0,123,39,0,162,,0,1524,1177,181,2882,,19,2722,2460,91,5292,,148,2,1237,0,1387,,0,17,358,0,375,,167,2741,4055,91,7054,,167,4265,5232,272,9936,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,The University of Birmingham,0,3771,4719,69,8559,,0,3886,871,744,5501,,293,1423,456,191,2363,,293,9080,6046,1004,16423,,564,7705,3471,365,12105,,69,793,3031,32,3925,,0,1908,2622,182,4712,,633,10406,9124,579,20742,,926,19486,15170,1583,37165,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,Bishop Grosseteste College,0,109,101,16,226,,0,0,0,26,26,,0,0,0,0,0,,0,109,101,42,252,,0,740,232,22,994,,0,0,180,0,180,,0,36,35,0,71,,0,776,447,22,1245,,0,885,548,64,1497,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,Bolton Institute of Higher Education,76,678,570,0,1324,,0,483,541,91,1115,,0,0,0,0,0,,76,1161,1111,91,2439,,44,1538,920,51,2553,,41,408,900,0,1349,,55,740,728,0,1523,,140,2686,2548,51,5425,,216,3847,3659,142,7864,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,The Arts Institute at Bournemouth(#1),0,181,109,20,310,,0,111,163,59,333,,0,61,89,0,150,,0,353,361,79,793,,0,856,536,0,1392,,0,75,392,0,467,,0,59,62,0,121,,0,990,990,0,1980,,0,1343,1351,79,2773,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,Bournemouth University,243,749,474,0,1466,,115,1017,493,0,1625,,182,1134,690,0,2006,,540,2900,1657,0,5097,,441,1240,1927,1789,5397,,0,1165,1029,0,2194,,0,551,295,0,846,,441,2956,3251,1789,8437,,981,5856,4908,1789,13534,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,The University of Bradford,501,685,1325,3,2514,,657,291,802,108,1858,,638,155,208,27,1028,,1796,1131,2335,138,5400,,2758,1483,1653,104,5998,,243,196,1585,0,2024,,703,696,877,0,2276,,3704,2375,4115,104,10298,,5500,3506,6450,242,15698,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,The University of Brighton,0,2259,1502,44,3805,,0,1274,1701,58,3033,,0,206,144,0,350,,0,3739,3347,102,7188,,0,4070,1646,46,5762,,0,4,2463,0,2467,,0,1270,1040,0,2310,,0,5344,5149,46,10539,,0,9083,8496,148,17727,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,The University of Bristol,0,2678,1971,124,4773,,6,3579,2403,176,6164,,0,1317,1446,6,2769,,6,7574,5820,306,13706,,0,7407,3377,128,10912,,0,1003,4357,6,5366,,0,2367,1616,0,3983,,0,10777,9350,134,20261,,6,18351,15170,440,33967,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,Brunel University,61,1324,1657,86,3128,,0,1537,1398,532,3467,,5,446,571,7,1029,,66,3307,3626,625,7624,,294,3713,2626,52,6685,,1,681,2359,0,3041,,19,1967,1487,56,3529,,314,6361,6472,108,13255,,380,9668,10098,733,20879,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,Buckinghamshire Chilterns University College,5,740,728,0,1473,,117,525,97,0,739,,0,0,0,0,0,,122,1265,825,0,2212,,507,2246,2134,571,5458,,112,690,1005,0,1807,,10,908,1811,0,2729,,629,3844,4950,571,9994,,751,5109,5775,571,12206,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,The University of Cambridge,309,6742,6030,202,13283,,2497,543,1478,156,4674,,881,1860,1967,22,4730,,3687,9145,9475,380,22687,,1330,12897,11503,264,25994,,19,1220,15531,0,16770,,103,1871,392,36,2402,,1452,15988,27426,300,45166,,5139,25133,36901,680,67853,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,The Institute of Cancer Research,0,148,307,11,466,,0,436,213,32,681,,0,0,71,0,71,,0,584,591,43,1218,,103,2362,1265,178,3908,,35,596,170,46,847,,0,0,11,0,11,,138,2958,1446,224,4766,,138,3542,2037,267,5984,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
