,,,,,,,,,,,,,
Table 12 - Summaries of Academic Staff Numbers for all UK Institutions by Principal Source of Salary and Mode of Employment 2001/02,,,,,,,,,,,,,
,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Full-time,,,,       Part-time,,,,,
,,,, Wholly institutio-    nally financed,All other sources of finance,Total ,, Wholly institutio-    nally financed,All other sources of finance,Total ,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,,Total UK,,80410,39490,119900,,17810,5440,23250,,1,
,,,,,,,,,,,,,
2,,Total England,,64795,32055,96850,,15480,4455,19935,,2,
3,,,Anglia Polytechnic University,690,0,690,,140,0,140,,3,
4,,,Aston University,285,75,365,,90,5,95,,4,
5,,,Bath Spa University College,150,0,150,,140,0,140,,5,
6,,,The University of Bath,490,320,810,,45,45,90,,6,
7,,,Birkbeck College,390,0,390,,80,0,80,,7
8,,,The University of Birmingham,1315,1160,2475,,170,100,270,,8
9,,,Bishop Grosseteste College,35,0,35,,10,0,10,,9
10,,,Bolton Institute of Higher Education,205,55,260,,25,0,25,,10
11,,,The Arts Institute at Bournemouth(#1),55,0,55,,50,0,50,,11
12,,,Bournemouth University,495,15,510,,175,0,175,,12
13,,,The University of Bradford,450,130,585,,50,20,70,,13
14,,,The University of Brighton,600,100,700,,155,25,180,,14
15,,,The University of Bristol,1005,1025,2030,,100,140,235,,15
16,,,Brunel University,555,150,705,,155,15,170,,16
17,,,Buckinghamshire Chilterns University College,230,65,290,,95,10,105,,17
18,,,The University of Cambridge,1340,2855,4195,,70,320,385,,18
19,,,The Institute of Cancer Research,245,270,515,,20,15,35,,19
20,,,Canterbury Christ Church University College,370,10,380,,140,5,145,,20
21,,,The University of Central England in Birmingham,760,235,995,,180,30,210,,21
22,,,The University of Central Lancashire,735,55,785,,115,10,125,,22
23,,,Central School of Speech and Drama,30,0,30,,10,0,10,,23
24,,,Chester College of HE,190,65,250,,25,5,30,,24
25,,,University College Chichester,130,0,130,,50,0,50,,25
26,,,City University,575,75,650,,65,20,85,,26
27,,,Conservatoire for Dance and Drama(#1),20,0,20,,0,0,0,,27
28,,,Coventry University,645,25,675,,155,5,155,,28
29,,,Cranfield University,750,0,750,,65,0,65,,29
30,,,Cumbria Institute of the Arts,40,0,40,,20,0,20,,30
31,,,Dartington College of Arts,20,0,20,,15,0,15,,31
32,,,De Montfort University,1005,75,1080,,225,15,240,,32
33,,,University of Derby,575,5,580,,190,0,195,,33
34,,,University of Durham,800,260,1060,,45,10,55,,34
35,,,The University of East Anglia,525,415,935,,75,55,130,,35
36,,,The University of East London,505,30,535,,135,20,155,,36
37,,,Edge Hill College of Higher Education,200,100,295,,50,10,60,,37
38,,,The University of Essex,410,120,525,,90,35,125,,38
39,,,The University of Exeter,655,175,830,,80,55,135,,39
40,,,Falmouth College of Arts,60,0,60,,55,0,55,,40
41,,,University of Gloucestershire,365,5,375,,115,0,115,,41
42,,,Goldsmiths College,275,30,305,,275,15,285,,42
43,,,The University of Greenwich,685,45,735,,120,10,125,,43
44,,,Harper Adams University College,75,10,90,,15,5,20,,44
45,,,University of Hertfordshire,630,275,900,,230,80,310,,45
46,,,Homerton College(#4),0,60,60,,0,20,20,,46
47,,,The University of Huddersfield,465,150,615,,50,15,65,,47
48,,,The University of Hull,520,225,745,,120,90,210,,48
49,,,"Imperial College of Science, Technology & Medicine",1290,2200,3490,,160,145,305,,49
50,,,Institute of Advanced Nursing Education,35,0,35,,5,0,5,,50
51,,,Institute of Education,150,50,200,,50,65,120,,51
