,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 14 - Sources of Salary of Academic Staff of all UK Institutions by Gender, Grade(#13) and Mode of Employment 2001/02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Professors,,,Senior Lecturers & Researchers,,,Lecturers,,,Researchers,,,Other Grades,, ,,,,,,,,,,,,,,,,,,,,,,
,,,,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Total ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Full-time ,,,1685,11140,,5780,16940,,16150,25340,,14540,20660,,3070,4595,,119900,,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,Wholly institutionally financed,,1495,10205,,4995,15320,,13955,22760,,2670,3845,,1980,3185,,80410,,2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,All other sources of finance,,190,935,,785,1620,,2195,2580,,11870,16815,,1090,1410,,39490,,3,,,,,,,,,,,,,,,,,,,
4,,,,Principally financed by the institution ,35,195,,90,255,,100,180,,160,240,,35,85,,1370,,4,,,,,,,,,,,,,,,,,,,
5,,,,OST research councils,25,95,,60,185,,150,355,,3430,7140,,85,150,,11670,,5,,,,,,,,,,,,,,,,,,,
6,,,,UK based charities,30,105,,110,250,,345,570,,3625,3260,,205,305,,8810,,6
7,,,,"UK central govt bodies, local auth, health & hospital auth",75,365,,445,660,,1245,870,,1905,1605,,525,445,,8135,,7
8,,,,"UK industry, commerce & public corps",0,40,,20,95,,90,200,,860,1540,,90,165,,3110,,8
9,,,,EU sources,0,5,,5,25,,20,80,,795,1570,,60,120,,2685,,9
10,,,,Other overseas sources,5,10,,10,35,,70,90,,365,495,,20,25,,1125,,10
11,,,,Other sources,20,110,,40,115,,175,240,,725,965,,70,115,,2585,,11
,,,,,,,,,,,,,,,,,,,,,,
12,,Part-time ,,,130,860,,785,1125,,5110,3535,,3470,1730,,3235,3270,,23250,,12
,,,,,,,,,,,,,,,,,,,,,,
13,,,Wholly institutionally financed,,100,760,,605,925,,4605,3325,,970,560,,2890,3070,,17810,,13
,,,,,,,,,,,,,,,,,,,,,,
14,,,All other sources of finance,,25,100,,180,200,,510,210,0,2500,1170,,345,200,,5440,,14
15,,,,Principally financed by the institution ,5,20,,15,15,,45,30,,45,30,,10,15,,225,,15
16,,,,OST research councils,0,10,,10,30,,25,15,,540,320,,30,35,,1010,,16
17,,,,UK based charities,5,10,,35,15,,60,25,,600,145,,40,10,,945,,17
18,,,,"UK central govt bodies, local auth, health & hospital auth",15,30,,90,95,,280,80,,645,200,,170,65,,1670,,18
19,,,,"UK industry, commerce & public corps",0,15,,5,10,,25,20,,175,125,,15,15,,405,,19
20,,,,EU sources,0,5,,5,10,,10,5,,175,175,,10,15,,410,,20
21,,,,Other overseas sources,0,0,,0,5,,10,10,,80,40,,10,15,,170,,21
22,,,,Other sources,0,15,,15,25,,50,30,,245,135,,55,30,,605,,22
,,,,,,,,,,,,,,,,,,,,,,
23,,All modes,,,1810,12000,,6565,18065,,21265,28875,,18010,22390,,6305,7865,,143150,,23
,,,,,,,,,,,,,,,,,,,,,,
24,,,Wholly institutionally financed,,1600,10965,,5595,16245,,18560,26085,,3640,4405,,4875,6255,,98220,,24
,,,,,,,,,,,,,,,,,,,,,,
25,,,All other sources of finance,,215,1035,,965,1825,,2705,2790,,14370,17990,,1430,1610,,44930,,25
26,,,,Principally financed by the institution ,35,215,,105,270,,145,205,,205,270,,45,95,,1600,,26
27,,,,OST research councils,25,105,,70,210,,175,365,,3970,7460,,115,185,,12685,,27
28,,,,UK based charities,35,115,,150,265,,405,595,,4225,3405,,245,320,,9755,,28
29,,,,"UK central govt bodies, local auth, health & hospital auth",85,390,,535,755,,1525,950,,2550,1810,,695,510,,9805,,29
30,,,,"UK industry, commerce & public corps",0,55,,30,105,,115,220,,1035,1665,,105,180,,3515,,30
31,,,,EU sources,0,10,,10,35,,35,85,,970,1745,,70,130,,3095,,31
32,,,,Other overseas sources,5,15,,10,40,,80,100,,440,535,,30,35,,1290,,32,,,,,,,,,,,,,,,,,,,
33,,,,Other sources,25,125,,55,140,,225,275,,970,1100,,125,150,,3190,,33,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In this table 0, 1, 2 are rounded to 0. All other numbers are rounded up or down to the nearest 5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# see relevant footnote in Notes on Tables.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copyright © Higher Education Statistics Agency Ltd 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
