,,,,,,,,,,,,,,,,
"Table 16 - Full-time Academic Staff by Departmental Group, Grade(#13), Primary Employment Function and Gender 2001/02",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
United Kingdom ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Teaching/Teaching & Research,,,,Research only,,,,Total,,,,
,,,,Female,Male,Total,,Female,Male,Total,,Female,Male,Total,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,,"Medicine, dentistry & health",,8360,9685,18045,,7295,6180,13475,,15655,15865,31520,,1
2,,,Professors,515,2200,2715,,20,30,45,,530,2230,2760,,2
3,,,Senior lecturers & researchers,1780,3030,4810,,145,250,395,,1930,3280,5210,,3
4,,,Lecturers,5020,3610,8630,,455,770,1225,,5470,4380,9855,,4
5,,,Researchers,140,85,220,,6210,4645,10850,,6345,4725,11075,,5
6,,,Other grades,905,760,1665,,470,485,955,,1375,1245,2625,,6
,,,,,,,,,,,,,,,,
7,,"Agriculture, forestry & veterinary science",,365,1015,1380,,435,545,980,,805,1560,2360,,7
8,,,Professors,15,140,155,,0,10,10,,15,150,170,,8
9,,,Senior lecturers & researchers,50,230,285,,5,25,30,,60,255,315,,9
10,,,Lecturers,240,530,770,,0,15,15,,240,545,785,,10
11,,,Researchers,30,45,75,,405,480,885,,435,525,960,,11
12,,,Other grades,30,70,100,,20,15,35,,50,80,135,,12
,,,,,,,,,,,,,,,,
13,,"Biological, mathematical & physical sciences",,2220,10750,12970,,4350,8365,12715,,6570,19115,25685,,13
14,,,Professors,155,2575,2735,,10,55,70,,165,2635,2800,,14
15,,,Senior lecturers & researchers,535,3450,3985,,35,190,225,,570,3635,4210,,15
16,,,Lecturers,1310,4060,5365,,90,175,265,,1395,4235,5630,,16
17,,,Researchers,85,205,290,,4120,7725,11845,,4205,7930,12135,,17
18,,,Other grades,135,460,595,,90,220,315,,230,680,910,,18
,,,,,,,,,,,,,,,,
19,,Engineering & technology,,1245,8880,10130,,1120,5230,6355,,2365,14115,16480,,19
20,,,Professors,55,1520,1575,,5,25,25,,60,1545,1600,,20
21,,,Senior lecturers & researchers,265,2535,2800,,10,115,130,,275,2650,2925,,21
22,,,Lecturers,800,4115,4915,,20,95,115,,820,4210,5030,,22
23,,,Researchers,50,165,215,,1040,4765,5805,,1090,4930,6020,,23
24,,,Other grades,75,545,620,,45,230,280,,120,780,900,,24
,,,,,,,,,,,,,,,,
25,,Architecture & planning,,315,1340,1655,,160,275,435,,470,1615,2085,,25
26,,,Professors,20,195,215,,0,5,5,,20,200,220,,26
27,,,Senior lecturers & researchers,70,395,465,,0,15,15,,70,410,480,,27
28,,,Lecturers,190,650,845,,5,5,10,,195,660,855,,28
29,,,Researchers,10,15,25,,150,230,380,,160,250,405,,29
30,,,Other grades,25,85,105,,5,15,20,,30,100,125,,30
,,,,,,,,,,,,,,,,
31,,"Administrative, business & social studies",,5420,12045,17465,,1450,1550,3000,,6870,13595,20465,,31
32,,,Professors,420,2355,2775,,15,60,75,,435,2415,2850,,32
33,,,Senior lecturers & researchers,1205,3265,4470,,35,90,130,,1240,3355,4595,,33
34,,,Lecturers,3420,5710,9130,,30,35,65,,3450,5750,9200,,34
35,,,Researchers,70,70,140,,1290,1280,2570,,1355,1350,2710,,35
36,,,Other grades,305,640,950,,80,80,160,,385,725,1110,,36
,,,,,,,,,,,,,,,,
37,,Language based studies,,2195,2730,4925,,155,140,295,,2355,2865,5220,,37
38,,,Professors,150,615,760,,0,0,0,,150,615,765,,38
39,,,Senior lecturers & researchers,450,850,1295,,0,0,5,,450,850,1300,,39
40,,,Lecturers,1220,1055,2280,,5,5,10,,1230,1065,2290,,40
41,,,Researchers,10,15,30,,140,120,260,,150,140,290,,41
42,,,Other grades,365,195,560,,10,5,15,,370,200,575,,42
,,,,,,,,,,,,,,,,
43,,Other arts,,2410,5580,7990,,410,555,965,,2820,6135,8955,,43
44,,,Professors,165,930,1095,,10,15,25,,175,945,1120,,44
45,,,Senior lecturers & researchers,545,1600,2145,,10,25,35,,555,1625,2180,,45
46,,,Lecturers,1530,2700,4230,,15,25,40,,1545,2725,4270,,46
47,,,Researchers,15,35,50,,350,450,800,,365,485,850,,47
48,,,Other grades,155,310,465,,25,45,70,,185,355,535,,48
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
49,,Education,,2520,2985,5510,,315,230,545,,2835,3215,6050,,49
50,,,Professors,100,330,430,,10,10,20,,110,345,450,,50
51,,,Senior lecturers & researchers,560,765,1320,,20,20,40,,575,785,1360,,51
52,,,Lecturers,1640,1660,3300,,20,10,30,,1660,1670,3325,,52
53,,,Researchers,45,25,70,,265,170,435,,305,195,500,,53
54,,,Other grades,180,210,390,,5,15,20,,185,225,410,,54
,,,,,,,,,,,,,,,,
55,,Academic services,,240,270,515,,85,105,190,,330,375,705,,55
56,,,Professors,10,25,35,,0,5,5,,15,25,40,,56
57,,,Senior lecturers & researchers,25,40,65,,5,5,5,,30,45,70,,57
58,,,Lecturers,95,70,165,,0,5,5,,95,75,165,,58
59,,,Researchers,5,0,5,,80,80,160,,80,80,165,,59
60,,,Other grades,105,140,245,,5,15,20,,110,150,265,,60
,,,,,,,,,,,,,,,,
61,,Administration & central services,,110,155,265,,40,65,105,,155,220,370,,61
62,,,Professors,10,35,45,,0,0,0,,10,35,45,,62
63,,,Senior lecturers & researchers,25,45,70,,0,0,0,,25,45,70,,63
64,,,Lecturers,50,30,85,,0,0,5,,55,35,85,,64
65,,,Researchers,5,0,5,,35,50,85,,40,50,90,,65
66,,,Other grades,20,40,60,,5,10,15,,25,50,80,,66
,,,,,,,,,,,,,,,,
67,,Premises,,0,0,0,,0,0,0,,0,0,0,,67
68,,,Professors,0,0,0,,0,0,0,,0,0,0,,68
69,,,Senior lecturers & researchers,0,0,0,,0,0,0,,0,0,0,,69
70,,,Lecturers,0,0,0,,0,0,0,,0,0,0,,70
71,,,Researchers,0,0,0,,0,0,0,,0,0,0,,71
72,,,Other grades,0,0,0,,0,0,0,,0,0,0,,72
,,,,,,,,,,,,,,,,
73,,Residences & catering,,0,0,0,,0,0,0,,0,0,0,,73
74,,,Professors,0,0,0,,0,0,0,,0,0,0,,74
75,,,Senior lecturers & researchers,0,0,0,,0,0,0,,0,0,0,,75
76,,,Lecturers,0,0,0,,0,0,0,,0,0,0,,76
77,,,Researchers,0,0,0,,0,0,0,,0,0,0,,77
78,,,Other grades,0,0,0,,0,0,0,,0,0,0,,78
,,,,,,,,,,,,,,,,
79,,All academic staff,,25405,55435,80840,,15820,23240,39060,,41225,78675,119900,,79
80,,,Professors,1615,10925,12535,,70,215,285,,1685,11140,12820,,80
