,,,,,,,,,,,,,,,,,
"Table 17 - Full-time Non-clinical Wholly Institutionally Financed Staff by Departmental Group, Grade(#13) and Age 2001/02",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,25 & under,26               -30,31            -35,36           -40,41                  -45,46                -50,51               -55,56                  -60,61               -65,66+,Un-  known,Total,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1,,"Medicine, dentistry & health",,230,815,1420,1935,2320,2335,2125,965,290,20,5,12460,,1
2,,,Professors,0,0,5,70,175,315,355,235,90,10,0,1255,,2
3,,,Senior lecturers & researchers,0,10,155,395,655,615,630,315,95,5,0,2875,,3
4,,,Lecturers,15,360,900,1190,1195,1075,870,325,75,0,5,6005,,4
5,,,Researchers,180,395,300,195,120,115,75,30,5,0,0,1410,,5
6,,,Other grades,35,50,60,85,180,215,200,65,20,5,0,915,,6
,,,,,,,,,,,,,,,,,
7,,"Agriculture, forestry & veterinary science",,25,150,240,270,250,280,230,135,45,0,0,1620,,7
8,,,Professors,0,0,0,5,15,30,45,40,10,0,0,150,,8
9,,,Senior lecturers & researchers,0,0,10,45,55,65,70,35,10,0,0,295,,9
10,,,Lecturers,5,70,155,150,125,125,65,40,15,0,0,750,,10
11,,,Researchers,10,60,50,60,45,45,30,15,5,0,0,320,,11
12,,,Other grades,5,20,20,5,10,15,20,5,5,0,0,110,,12
,,,,,,,,,,,,,,,,,
13,,"Biological, mathematical & physical sciences",,230,1055,1915,2360,1990,1940,2030,1705,745,70,0,14045,,13
14,,,Professors,0,0,20,185,360,545,615,565,310,40,0,2635,,14
15,,,Senior lecturers & researchers,0,10,230,670,705,645,730,645,275,15,0,3925,,15
16,,,Lecturers,25,465,1165,1205,710,585,505,365,115,5,0,5150,,16
17,,,Researchers,175,520,440,230,150,80,75,45,15,5,0,1735,,17
18,,,Other grades,30,60,60,70,65,85,105,90,30,5,0,600,,18
,,,,,,,,,,,,,,,,,
19,,Engineering & technology,,240,770,1340,1745,1730,1640,1750,1210,475,30,0,10930,,19
20,,,Professors,0,0,20,130,235,295,360,325,170,15,0,1550,,20
21,,,Senior lecturers & researchers,0,15,155,440,520,525,595,410,145,5,0,2800,,21
22,,,Lecturers,55,390,855,940,790,665,615,365,125,5,0,4795,,22
23,,,Researchers,135,315,275,180,115,70,60,35,15,0,0,1200,,23
24,,,Other grades,50,60,35,60,70,90,115,75,25,5,0,580,,24
,,,,,,,,,,,,,,,,,
25,,Architecture & planning,,25,70,165,250,270,295,400,205,70,5,0,1745,,25
26,,,Professors,0,0,0,10,30,40,70,45,20,0,0,215,,26
27,,,Senior lecturers & researchers,0,0,25,55,65,90,125,70,25,0,0,460,,27
28,,,Lecturers,0,30,105,145,155,140,160,80,20,0,0,835,,28
29,,,Researchers,15,35,25,25,10,5,5,5,0,0,0,130,,29
30,,,Other grades,10,0,10,10,5,15,35,10,5,0,0,105,,30
,,,,,,,,,,,,,,,,,
31,,"Administrative, business & social studies",,230,1220,2445,2695,2680,2850,3375,1770,570,30,5,17865,,31
