Table 19a - Summaries of Full-time Academic Staff in all UK Institutions by ,,,,,,,,,,,,,,,,,,,
"Clinical Status, Primary Employment Function and Principal Source of Salary 2001/02",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,Teaching/Teaching                    & Research,,,Research only,,,Non-clinical,,,Clinical,,,Total,,,
,,,,,,,,,,,,,,,,,,,
,,,,Wholly institut-          ionally financed,All other sources of finance,,Wholly institut-        ionally financed,All other sources of finance,,Wholly institut-          ionally financed,All other sources of finance,,Wholly institut-          ionally financed,All other sources of finance,,Wholly institut-          ionally financed,All other sources of finance,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,,Total UK,,72950,7890, ,7460,31600,,78180,35515,0,2230,3975,,80410,39490,,1
,,,,,,,,,,,,,,,,,,,
2,,Total England,,58805,6505,0,5995,25550,,63015,28680,0,1780,3370,,64795,32055,,2
3,,,Anglia Polytechnic University,665,0,,25,0,,690,0,,0,0,,690,0,,3
4,,,Aston University,275,25,,10,50,,285,75,,0,0,,285,75,,4
5,,,Bath Spa University College,145,0,,5,0,,150,0,,0,0,,150,0,,5
6,,,The University of Bath,475,25,,15,295,,490,310,,0,5,,490,320,,6
7,,,Birkbeck College,275,0,,115,0,,390,0,,0,0,,390,0,,7
8,,,The University of Birmingham,1170,195,,145,965,,1275,970,,40,190,,1315,1160,,8
9,,,Bishop Grosseteste College,35,0,,0,0,,35,0,,0,0,,35,0,,9
10,,,Bolton Institute of Higher Education,205,50,,0,5,,205,55,,0,0,,205,55,,10
11,,,The Arts Institute at Bournemouth(#1),55,0,,0,0,,55,0,,0,0,,55,0,,11
12,,,Bournemouth University,435,0,,55,15,,495,15,,0,0,,495,15,,12
13,,,The University of Bradford,410,30,,40,100,,450,130,,0,0,,450,130,,13
14,,,The University of Brighton,580,15,,25,85,,600,100,,0,0,,600,100,,14
15,,,The University of Bristol,920,140,,85,885,,910,895,,95,130,,1005,1025,,15
16,,,Brunel University,520,15,,35,135,,555,150,,0,0,,555,150,,16
17,,,Buckinghamshire Chilterns University College,220,60,,5,5,,230,65,,0,0,,230,65,,17
18,,,The University of Cambridge,1310,295,,30,2560,,1305,2650,,35,205,,1340,2855,,18
19,,,The Institute of Cancer Research,70,25,,175,245,,225,230,,20,40,,245,270,,19
20,,,Canterbury Christ Church University College,360,10,,5,0,,370,10,,0,0,,370,10,,20
21,,,The University of Central England in Birmingham,735,185,,25,50,,760,235,,0,0,,760,235,,21
