,,,,,,,,,,,,,,,,,,,,,,
"Table 19b - Summaries of Academic Staff in all UK Institutions by Age, Gender and Mode of Employment 2001/02",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Full-time Staff,,,,,,,Part-time Staff,,,,,,,,,
,,,,Age,,,,Gender,,,,Age,,,,Gender,,,,,,
,,,,Average                age(#14),% < 35 years,% >= 55 years,,Female,Male,Total ,,Average                age(#14),% < 35 years,% >= 55 years,,Female,Male,Total ,,Total,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1,,Total UK,,41,31%,13%,,41225,78675,119900,,44,24%,21%,,12725,10520,23250,,143150,,1
,,,,,,,,,,,,,,,,,,,,,,
2,,Total England,,41,31%,13%,,33520,63330,96850,,44,23%,21%,,10850,9085,19935,,116785,,2
3,,,Anglia Polytechnic University,47,11%,21%,,285,405,690,,45,18%,19%,,85,55,140,,830,,3
4,,,Aston University,42,33%,18%,,95,270,365,,37,49%,16%,,45,50,95,,460,,4
5,,,Bath Spa University College,46,15%,20%,,55,95,150,,44,15%,16%,,65,75,140,,290,,5
6,,,The University of Bath,39,39%,9%,,195,615,810,,46,17%,29%,,40,45,90,,900,,6
7,,,Birkbeck College,42,29%,15%,,140,250,390,,44,21%,22%,,40,40,80,,470,,7
8,,,The University of Birmingham,39,40%,11%,,780,1695,2475,,46,18%,30%,,135,130,270,,2745,,8
9,,,Bishop Grosseteste College,46,..,..,,20,15,35,,56,..,..,,5,5,10,,50,,9
10,,,Bolton Institute of Higher Education,47,6%,15%,,75,185,260,,45,..,..,,15,10,25,,285,,10
11,,,The Arts Institute at Bournemouth(#1),44,19%,11%,,25,30,55,,41,..,..,,15,35,50,,100,,11
12,,,Bournemouth University,43,25%,14%,,185,325,510,,46,16%,27%,,95,80,175,,685,,12
13,,,The University of Bradford,43,22%,17%,,170,410,585,,45,17%,19%,,40,30,70,,655,,13
14,,,The University of Brighton,45,17%,19%,,295,405,700,,45,13%,15%,,110,65,180,,880,,14
15,,,The University of Bristol,38,45%,10%,,635,1395,2030,,43,25%,21%,,155,80,235,,2265,,15
16,,,Brunel University,42,29%,13%,,240,465,705,,47,24%,37%,,70,105,170,,875,,16
17,,,Buckinghamshire Chilterns University College,45,15%,15%,,115,175,290,,43,22%,18%,,50,55,105,,395,,17
18,,,The University of Cambridge,38,48%,12%,,1350,2845,4195,,42,30%,18%,,230,160,385,,4580,,18
