,,,,,,,,,,,,,,,,
Table 20b - Inflow and Outflow of Full-time Wholly Institutionally Financed Academic Staff ,,,,,,,,,,,,,,,,
"by Clinical Status, Age, Grade(#13) and Primary Employment Function 2001/02",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,
,,,,,Teaching/    Teaching         & research,Research only,,Professors,Senior lecturers & researchers,Lecturers,Researchers,Other              grades,,Total ,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,,Total Inflow ,,,3890,1380,,195,400,2770,1305,600,,5270,,1
,,,,,,,,,,,,,,,,
2,,,Non-clinical ,,3715,1335,,170,360,2630,1305,585,,5050,,2
3,,,,Under 21,10,10,,0,0,0,10,10,,20,,3
4,,,,21-25,215,335,,0,0,95,325,125,,550,,4
5,,,,26-30,700,445,,0,15,530,440,160,,1150,,5
6,,,,31-35,820,260,,5,65,650,250,115,,1080,,6
7,,,,36-40,690,125,,25,75,535,135,50,,820,,7
8,,,,41-45,505,75,,35,85,350,70,45,,580,,8
9,,,,46-50,375,40,,35,55,245,35,45,,415,,9
10,,,,51-55,285,30,,45,45,175,30,25,,315,,10
11,,,,56-60,80,15,,20,20,35,10,10,,95,,11
12,,,,61-65,15,0,,5,0,5,0,5,,20,,12
13,,,,66 +,5,0,,0,0,0,0,5,,5,,13
14,,,,Unknown,5,0,,0,0,5,0,0,,5,,14
,,,,,,,,,,,,,,,,
15,,,Clinical,,175,40,,25,35,135,0,20,,220,,15
16,,,,Under 21,0,0,,0,0,0,0,0,,0,,16
17,,,,21-25,10,0,,0,0,10,0,0,,10,,17
18,,,,26-30,30,20,,0,0,45,0,5,,50,,18
19,,,,31-35,65,10,,0,5,65,0,5,,80,,19
20,,,,36-40,30,5,,0,20,15,0,5,,40,,20
21,,,,41-45,20,0,,10,10,0,0,0,,20,,21
22,,,,46-50,10,0,,5,5,0,0,0,,10,,22
23,,,,51-55,5,0,,5,0,0,0,0,,5,,23
24,,,,56-60,5,0,,5,0,0,0,0,,5,,24
25,,,,61-65,5,0,,0,0,0,0,0,,5,,25
26,,,,66 +,0,0,,0,0,0,0,0,,0,,26
27,,,,Unknown,0,0,,0,0,0,0,0,,0,,27
,,,,,,,,,,,,,,,,
28,,Total Outflow ,,,4435,1445,,620,1015,2280,1340,630,,5880,,28
,,,,,,,,,,,,,,,,
29,,,Non-clinical ,,4260,1385,,575,965,2170,1335,600,,5645,,29
30,,,,Under 21,5,0,,0,0,0,0,5,,5,,30
31,,,,21-25,100,180,,0,0,20,180,80,,280,,31
32,,,,26-30,325,435,,0,5,220,435,100,,760,,32
33,,,,31-35,555,345,,0,55,425,330,85,,900,,33
34,,,,36-40,510,170,,20,70,380,160,50,,680,,34
35,,,,41-45,445,90,,40,100,260,90,40,,530,,35
36,,,,46-50,405,55,,55,95,215,50,45,,460,,36
37,,,,51-55,565,55,,100,165,240,40,80,,620,,37
38,,,,56-60,665,30,,135,220,250,25,60,,695,,38
39,,,,61-65,595,25,,185,225,145,15,50,,620,,39
40,,,,66 +,90,5,,40,30,15,0,10,,95,,40
41,,,,Unknown,0,0,,0,0,0,0,0,,0,,41
,,,,,,,,,,,,,,,,
42,,,Clinical ,,180,55,,40,50,110,5,30,,235,,42
43,,,,Under 21,0,0,,0,0,0,0,0,,0,,43
44,,,,21-25,5,0,,0,0,5,0,0,,5,,44
45,,,,26-30,15,15,,0,0,25,0,5,,30,,45
46,,,,31-35,30,25,,0,5,40,0,10,,60,,46
47,,,,36-40,35,15,,0,15,30,5,0,,50,,47
48,,,,41-45,25,0,,5,10,5,0,5,,25,,48
49,,,,46-50,5,0,,5,0,0,0,0,,5,,49
50,,,,51-55,10,0,,0,5,0,0,0,,10,,50
51,,,,56-60,20,0,,10,10,0,0,0,,20,,51
52,,,,61-65,25,0,,20,5,0,0,0,,25,,52
53,,,,66 +,5,0,,0,0,0,0,0,,5,,53
54,51,,,Unknown,0,0,,0,0,0,0,0,,0,,54
 ,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
"In this table 0, 1, 2 are rounded to 0. All other numbers are rounded up or down to the nearest 5.",,,,,,,,,,,,,,,,
# see relevant footnote in Notes on Tables.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Copyright © Higher Education Statistics Agency Ltd 2003,,,,,,,,,,,,,,,,
