,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 21 - All Academic Staff by Mode of Employment, Primary Employment Function, Gender and Ethnicity 2001/02",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,White,,Total of ethnic minorities,,Black or Black British - Caribbean,Black or Black British - African,Other Black background,Asian or Asian British - Indian,Asian or Asian British - Pakistani,Asian or Asian British - Bangladeshi,Chinese or Other Ethnic background - Chinese,Other Asian background,Other (including mixed),,Total of known ethnicity,,Not known (#11),Total,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,UK nationality ,,,,94655,,5460,,370,330,145,1205,360,105,690,615,1635,,100115,,9505,109620,,1
,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,Full-time ,,,78825,,4800,,310,285,125,1055,320,95,645,545,1425,,83630,,7800,91430,,2
3,,,,Teaching only,,4590,,165,,20,10,10,35,5,0,20,15,50,,4755,,265,5020,,3
4,,,,,Female,2015,,65,,15,5,5,10,0,0,10,5,15,,2085,,125,2210,,4
5,,,,,Male,2570,,100,,10,10,5,20,5,0,10,10,35,,2670,,140,2815,,5
6,,,,Research only,,19700,,1805,,75,95,25,480,185,55,300,175,420,,21505,,3390,24890,,6
7,,,,,Female,8400,,790,,40,35,15,220,90,20,125,85,155,,9195,,1250,10440,,7
8,,,,,Male,11300,,1015,,35,60,10,260,90,30,170,90,265,,12310,,2140,14450,,8
9,,,,Teaching & research,,54540,,2830,,210,180,90,545,130,40,330,355,955,,57370,,4145,61515,,9
10,,,,,Female,16480,,875,,125,60,35,160,30,5,90,100,270,,17355,,915,18270,,10
11,,,,,Male,38060,,1955,,90,120,55,385,100,35,240,255,680,,40015,,3230,43245,,11
,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,Part-time ,,,15830,,655,,60,45,25,150,40,10,45,70,210,,16485,,1705,18190,,12
13,,,,Teaching only,,4580,,190,,25,25,5,35,10,0,15,25,50,,4770,,580,5350,,13
14,,,,,Female,2265,,100,,15,10,5,15,5,0,10,20,25,,2365,,285,2650,,14
15,,,,,Male,2310,,90,,10,15,0,20,5,0,5,5,25,,2400,,300,2700,,15
16,,,,Research only,,3665,,200,,10,10,10,50,15,10,15,20,60,,3865,,545,4410,,16
17,,,,,Female,2435,,145,,10,5,5,35,15,10,10,15,35,,2580,,335,2915,,17
18,,,,,Male,1230,,55,,0,5,5,15,5,0,5,0,20,,1285,,210,1500,,18
19,,,,Teaching & research,,7585,,265,,30,10,5,65,10,5,15,25,100,,7850,,575,8430,,19
20,,,,,Female,4010,,150,,20,5,5,35,5,0,10,15,55,,4160,,260,4420,,20
21,,,,,Male,3580,,115,,10,5,0,30,10,0,5,10,45,,3695,,315,4010,,21
,,,,,,,,,,,,,,,,,,,,,,,,,
22,,Non-UK nationality ,,,,19775,,6870,,135,540,90,1075,150,65,2470,1025,1320,,26645,,6885,33530,,22
,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,Full-time ,,,17250,,6325,,115,485,80,980,135,60,2370,935,1165,,23575,,4900,28475,,23
24,,,,Teaching only,,555,,140,,5,20,5,20,5,0,30,30,30,,695,,165,865,,24
25,,,,,Female,330,,50,,0,5,0,5,0,0,10,10,10,,380,,85,465,,25
26,,,,,Male,230,,90,,5,15,5,15,5,0,15,15,15,,315,,80,400,,26
27,,,,Research only,,7600,,3865,,35,205,30,520,70,35,1790,600,585,,11465,,2705,14170,,27
28,,,,,Female,3295,,1125,,15,35,10,160,15,5,515,170,195,,4420,,960,5380,,28
29,,,,,Male,4305,,2740,,15,170,25,355,55,30,1275,430,390,,7045,,1745,8790,,29
30,,,,Teaching & research,,9095,,2320,,80,260,45,440,60,25,550,310,555,,11410,,2030,13440,,30
31,,,,,Female,3245,,615,,35,50,10,115,10,5,145,80,165,,3860,,605,4465,,31
32,,,,,Male,5850,,1705,,40,210,35,325,50,20,405,230,390,,7550,,1425,8975,,32
,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,Part-time ,,,2525,,545,,20,50,10,95,20,5,100,90,150,,3070,,1985,5055,,33
34,,,,Teaching only,,745,,180,,10,25,5,25,5,0,25,30,55,,920,,1195,2120,,34
35,,,,,Female,455,,80,,5,5,0,10,0,0,15,20,25,,535,,595,1130,,35
36,,,,,Male,290,,95,,5,20,0,15,5,0,10,10,35,,385,,605,990,,36
37,,,,Research only,,800,,240,,5,15,5,45,10,5,60,45,55,,1040,,335,1370,,37
38,,,,,Female,505,,110,,0,5,5,25,0,0,30,25,20,,615,,180,795,,38
39,,,,,Male,290,,130,,5,10,0,20,10,5,30,20,35,,425,,155,575,,39
40,,,,Teaching & research,,985,,125,,5,15,5,25,5,0,20,15,40,,1110,,460,1570,,40
41,,,,,Female,545,,60,,5,5,5,10,0,0,10,10,20,,605,,215,820,,41
42,,,,,Male,440,,65,,0,10,0,15,0,0,10,5,20,,505,,245,750,,42
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"In this table 0, 1, 2 are rounded to 0. All other numbers are rounded up or down to the nearest 5.",,,,,,,,,,,,,,,,,,,,,,,,,
# see relevant footnote in Notes on Tables.,,,,,,,,,,,,,,,,,,,,,,,,,

Copyright © Higher Education Statistics Agency Ltd 2003,,,,,,,,,,,,,,,,,,,,,,,,,
