,,,,,,,,,,,,,,,
"Table 22 - All Academic Staff by Mode of Employment, Primary Employment Function, Gender and Disability Status 2001/02",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,Not known to           be disabled,Disabled but             not registered,Registered             disabled,,Total of known disability status,,Information             not provided,Total,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,,UK nationality ,,,,102210,1400,175,,103780,,5840,109620,,1
,,,,,,,,,,,,,,,
2,,,Full-time ,,,85360,1145,145,,86650,,4780,91430,,2
3,,,,Teaching only,,4775,95,10,,4880,,140,5020,,3
4,,,,,Female,2100,35,5,,2145,,65,2210,,4
5,,,,,Male,2675,60,5,,2740,,75,2815,,5
6,,,,Research only,,22470,230,25,,22730,,2165,24890,,6
7,,,,,Female,9475,95,10,,9580,,865,10440,,7
8,,,,,Male,12995,140,20,,13150,,1300,14450,,8
9,,,,Teaching & research,,58115,820,105,,59040,,2475,61515,,9
10,,,,,Female,17330,235,35,,17600,,665,18270,,10
11,,,,,Male,40785,580,70,,41435,,1810,43245,,11
,,,,,,,,,,,,,,,
12,,,Part-time ,,,16850,255,30,,17135,,1060,18190,,12
13,,,,Teaching only,,4970,65,0,,5035,,315,5350,,13
14,,,,,Female,2460,35,0,,2495,,155,2650,,14
15,,,,,Male,2510,35,0,,2540,,160,2700,,15
16,,,,Research only,,3990,55,5,,4055,,360,4410,,16
17,,,,,Female,2640,40,5,,2680,,235,2915,,17
18,,,,,Male,1355,20,5,,1375,,125,1500,,18
19,,,,Teaching & research,,7890,130,20,,8040,,385,8430,,19
20,,,,,Female,4135,60,10,,4205,,215,4420,,20
21,,,,,Male,3760,70,10,,3835,,170,4010,,21
,,,,,,,,,,,,,,,
22,,Non-UK nationality ,,,,29865,225,25,,30115,,3415,33530,,22
,,,,,,,,,,,,,,,
23,,,Full-time ,,,25575,200,20,,25790,,2680,28475,,23
24,,,,Teaching only,,785,10,0,,800,,65,865,,24
25,,,,,Female,425,5,0,,430,,35,465,,25
26,,,,,Male,365,5,0,,370,,30,400,,26
27,,,,Research only,,12460,65,5,,12530,,1640,14170,,27
28,,,,,Female,4720,20,0,,4745,,635,5380,,28
29,,,,,Male,7735,45,5,,7785,,1005,8790,,29
30,,,,Teaching & research,,12330,120,15,,12465,,975,13440,,30
31,,,,,Female,4090,50,5,,4145,,320,4465,,31
32,,,,,Male,8235,70,10,,8320,,660,8975,,32
,,,,,,,,,,,,,,,
33,,,Part-time ,,,4295,30,0,,4325,,730,5055,,33
34,,,,Teaching only,,1755,10,0,,1765,,355,2120,,34
35,,,,,Female,940,5,0,,945,,180,1130,,35
36,,,,,Male,810,5,0,,820,,170,990,,36
37,,,,Research only,,1165,5,0,,1175,,195,1370,,37
38,,,,,Female,685,5,0,,690,,105,795,,38
39,,,,,Male,485,0,0,,485,,90,575,,39
40,,,,Teaching & research,,1375,10,0,,1385,,180,1570,,40
41,,,,,Female,715,5,0,,720,,100,820,,41
42,,,,,Male,660,5,0,,665,,85,750,,42
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"In this table 0, 1, 2 are rounded to 0. All other numbers are rounded up or down to the nearest 5.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Copyright © Higher Education Statistics Agency Ltd 2003,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
