,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4 - Income of each Institution from Other Income - Other and Endowment and Investment Income 2001/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Institutions,,,,,,,,,,,,,,,,,£ Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Other Income - Other,,,,,,Endowment & Investment Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Residences & catering ops,Grants from local authorities,Income from         health & hospital authorities,Release of deferred capital grants,Income from intellectual        property rights,Other operating income,Total ,,Specific             endowments,General                 endowments,Interest                  receivable,Total ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Total UK,,967802,872,227303,45858,19874,790152,2051861,,117180,26971,113975,258126,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Total England,,810953,782,205002,36325,8302,660321,1721685,,99490,24443,96403,220336,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,Anglia Polytechnic University,5155,0,0,0,0,2787,7942,,0,0,755,755,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,Aston University,6778,0,0,44,937,3298,11057,,7,0,724,731,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,Bath Spa University College,1417,0,0,0,0,1749,3166,,0,0,161,161,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,The University of Bath,8453,0,670,138,36,4267,13564,,171,0,3843,4014,,6,
7,,,Birkbeck College,165,0,0,52,0,1911,2128,,90,710,2,802,,7,
8,,,The University of Birmingham,19869,0,9087,1500,614,20507,51577,,1694,290,1167,3151,,8,
9,,,Bishop Grosseteste College,554,7,0,0,0,82,643,,0,0,130,130,,9,
10,,,Bolton Institute of Higher Education,1225,0,0,23,0,212,1460,,0,0,149,149,,10,
11,,,The Arts Institute at Bournemouth(#1),160,0,0,6,0,320,486,,0,0,67,67,,11,
12,,,Bournemouth University,3630,0,0,0,1,3228,6859,,0,0,407,407,,12,
13,,,The University of Bradford,4891,0,0,57,0,3941,8889,,845,0,124,969,,13,
14,,,The University of Brighton,6235,0,0,290,0,1026,7551,,0,0,711,711,,14,
15,,,The University of Bristol,10804,0,6582,482,355,12411,30634,,1875,17,145,2037,,15,
16,,,Brunel University,11228,0,82,38,36,4594,15978,,52,12,785,849,,16,
17,,,Buckinghamshire Chilterns University College,4138,0,559,147,0,3194,8038,,0,0,140,140,,17,
18,,,The University of Cambridge,2608,0,7118,4259,0,27494,41479,,40827,292,7575,48694,,18,
19,,,The Institute of Cancer Research,31,0,0,799,335,3937,5102,,0,0,3496,3496,,19,
20,,,Canterbury Christ Church University College,4967,0,0,260,0,1605,6832,,0,0,37,37,,20,
21,,,The University of Central England in Birmingham,6639,0,0,0,0,1287,7926,,0,56,110,166,,21,
22,,,The University of Central Lancashire,6100,0,844,265,0,4776,11985,,0,0,109,109,,22,
23,,,Central School of Speech and Drama,74,0,0,4,0,261,339,,15,0,98,113,,23,
24,,,Chester College of HE,1812,0,560,0,0,441,2813,,0,0,128,128,,24,
25,,,University College Chichester,2012,0,0,15,0,911,2938,,0,0,131,131,,25,
26,,,City University,5833,0,1047,75,0,5812,12767,,95,215,2600,2910,,26,
27,,,Conservatoire for Dance and Drama(#1),0,0,0,0,0,0,0,,0,0,5,5,,27,
28,,,Coventry University,8011,0,0,190,0,2990,11191,,0,0,838,838,,28,
29,,,Cranfield University,8374,0,0,412,0,3822,12608,,291,0,258,549,,29,
30,,,Cumbria Institute of the Arts,270,0,0,0,0,0,270,,0,0,26,26,,30,
31,,,Dartington College of Arts,21,0,0,0,0,121,142,,1,0,94,95,,31,
32,,,De Montfort University,5254,0,0,0,0,1627,6881,,0,22,509,531,,32,
33,,,University of Derby,6490,0,19,87,0,518,7114,,0,0,96,96,,33,
34,,,University of Durham,18309,0,0,260,18,3620,22207,,321,299,137,757,,34,
35,,,The University of East Anglia,8522,3,66,1204,3,6098,15896,,928,0,651,1579,,35,
36,,,The University of East London,4479,0,133,165,0,3469,8246,,0,0,314,314,,36,
37,,,Edge Hill College of Higher Education,1789,0,0,41,0,1503,3333,,0,0,201,201,,37,
38,,,The University of Essex,9594,0,0,50,0,4250,13894,,411,0,724,1135,,38,
39,,,The University of Exeter,17852,50,0,64,2,5335,23303,,534,23,665,1222,,39,
40,,,Falmouth College of Arts,565,0,0,232,0,621,1418,,0,0,54,54,,40,
41,,,University of Gloucestershire,2415,0,0,32,0,2433,4880,,283,20,52,355,,41,
42,,,Goldsmiths College,3877,0,0,0,0,682,4559,,77,0,324,401,,42,
43,,,The University of Greenwich,8155,0,0,42,0,2431,10628,,0,0,575,575,,43,
44,,,Harper Adams University College,1767,0,0,0,0,948,2715,,0,0,118,118,,44,
45,,,University of Hertfordshire,8999,0,0,170,0,3145,12314,,0,0,1164,1164,,45,
46,,,Homerton College(#4),0,0,4885,0,0,410,5295,,0,0,74,74,,46,
47,,,The University of Huddersfield,4600,0,9143,4,0,4048,17795,,4,0,718,722,,47,
48,,,The University of Hull,8295,0,3423,138,0,5243,17099,,309,269,250,828,,48,
49,,,"Imperial College of Science, Technology & Medicine",15474,0,18102,3772,716,20273,58337,,2231,44,1165,3440,,49,
50,,,Institute of Advanced Nursing Education,0,0,371,0,0,6446,6817,,89,0,0,89,,50,
51,,,Institute of Education,2553,0,0,0,0,686,3239,,79,0,336,415,,51,
52,,,The University of Keele,7170,0,2290,331,442,7444,17677,,293,0,1438,1731,,52,
53,,,The University of Kent at Canterbury,11216,0,0,33,17,4883,16149,,423,19,675,1117,,53,
54,,,Kent Institute of Art & Design,2031,0,0,0,0,938,2969,,0,0,30,30,,54,
55,,,"King Alfred's College, Winchester",3398,0,0,0,0,683,4081,,1,0,84,85,,55,
56,,,King's College London,12203,0,23006,1329,71,5072,41681,,4537,3461,1178,9176,,56,
57,,,Kingston University,8630,0,0,0,0,737,9367,,0,0,1043,1043,,57,
58,,,The University of Lancaster,10869,0,0,210,0,6016,17095,,299,0,1095,1394,,58,
59,,,Leeds Metropolitan University,5599,0,0,157,0,3048,8804,,0,0,458,458,,59,
60,,,The University of Leeds,21837,0,7617,530,0,16095,46079,,2265,369,1718,4352,,60,
61,,,The University of Leicester,12478,72,9790,72,45,7557,30014,,87,38,1221,1346,,61,
62,,,The University of Lincoln,5440,0,0,63,0,3311,8814,,0,0,124,124,,62,
63,,,Liverpool Hope,3690,0,0,109,0,6078,9877,,0,0,20,20,,63,
64,,,Liverpool John Moores University,2314,0,644,313,0,6234,9505,,6,0,573,579,,64,
65,,,The University of Liverpool,11124,0,6558,0,0,11214,28896,,1302,931,2621,4854,,65,
66,,,London Business School,5483,0,0,338,0,3777,9598,,0,784,0,784,,66,
67,,,University of London (Institutes and activities)(#3),12029,0,0,302,0,44777,57108,,1834,59,3240,5133,,67,
68,,,London Guildhall University,291,650,0,170,0,2892,4003,,23,0,346,369,,68,
69,,,The London Institute,4002,0,0,79,0,2454,6535,,35,0,610,645,,69,
70,,,London South Bank University(#2),5686,0,0,0,0,3125,8811,,19,7,1501,1527,,70,
71,,,London School of Economics and Political Science,12966,0,0,218,0,6367,19551,,2152,178,-754,1576,,71,
72,,,London School of Hygiene & Tropical Medicine,334,0,0,210,0,338,882,,188,19,350,557,,72,
73,,,Loughborough University,19508,0,0,75,0,1701,21284,,178,0,1224,1402,,73,
74,,,University of Luton,4559,0,0,0,0,767,5326,,52,0,80,132,,74,
75,,,University of Manchester,26171,0,5949,1312,0,28628,62060,,3020,231,2802,6053,,75,
76,,,The University of Manchester Institute of Science & Technology,10932,0,0,0,0,7000,17932,,1198,376,350,1924,,76,
77,,,The Manchester Metropolitan University,11151,0,0,34,0,3355,14540,,0,9,1618,1627,,77,
78,,,Middlesex University,6665,0,1576,0,0,5113,13354,,0,0,217,217,,78,
79,,,The University of Newcastle-upon-Tyne,12070,0,11204,2460,0,13231,38965,,1026,122,1393,2541,,79,
80,,,Newman College,808,0,0,0,0,223,1031,,0,0,22,22,,80,
81,,,The University of North London,3115,0,0,0,0,1775,4890,,16,0,105,121,,81,
82,,,University College Northampton,3622,0,0,33,0,963,4618,,0,0,372,372,,82,
83,,,Northern School of Contemporary Dance,0,0,0,63,0,45,108,,0,0,11,11,,83,
84,,,The University of Northumbria at Newcastle,7843,0,624,31,0,1642,10140,,0,0,214,214,,84,
