Table 7 - Staff Costs of each Institution by Activity 2001/02,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
UK Institutions,,,,,,,,,,,,,,,,,,,,£ Thousands,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Academic Staff Costs,,,,,Other Staff Costs,,,,,,,,,,,
,,,,Academic       depts,Academic              services,Admin &       central        services,Research              grants &                  contracts,Other expenditure,Total ,,Academic       depts,Academic              services,Admin &       central        services,Premises,Residences & catering ops,Research              grants &                  contracts,Other expenditure,Total ,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1,,Total UK,,3599386,43558,84759,898862,110464,4737029,,1085848,544908,875752,359110,263819,250706,244990,3625133,,1,,
,,,,,,,,,,,,,,,,,,,,,,
2,,Total England,,2932753,38703,74251,737097,87233,3870037,,886627,439834,717341,287213,214909,204019,189572,2939515,,2,,
3,,,Anglia Polytechnic University,22608,601,2850,1648,2942,30649,,4798,2717,5478,993,960,104,3384,18434,,3,,
4,,,Aston University,12931,60,0,1791,0,14782,,3971,2515,5095,2033,1267,326,1189,16396,,4,,
5,,,Bath Spa University College,6002,163,330,81,0,6576,,813,557,2013,240,439,3,747,4812,,5,,
6,,,The University of Bath,20617,203,160,6914,428,28322,,9225,3524,7514,3318,2355,1702,2310,29948,,6
7,,,Birkbeck College,15021,0,167,3012,24,18224,,4586,1524,2741,1317,2,480,30,10680,,7
8,,,The University of Birmingham,64942,293,633,23789,1385,91042,,20329,9080,10406,6046,5243,9020,3150,63274,,8
9,,,Bishop Grosseteste College,1589,0,0,0,0,1589,,119,109,776,207,231,0,124,1566,,9
10,,,Bolton Institute of Higher Education,8273,76,140,191,628,9308,,2255,1161,2686,828,133,26,267,7356,,10
11,,,The Arts Institute at Bournemouth(#1),1880,0,0,0,0,1880,,664,353,990,123,55,0,16,2201,,11
12,,,Bournemouth University,17578,540,441,814,282,19655,,4023,2900,2956,886,261,225,200,11451,,12
13,,,The University of Bradford,22818,1796,3704,3035,379,31732,,4400,1131,2375,2999,1658,286,164,13013,,13
14,,,The University of Brighton,24205,0,0,1736,952,26893,,8362,3739,5344,2774,1440,221,227,22107,,14
15,,,The University of Bristol,51867,6,0,23037,1282,76192,,18262,7574,10777,5632,4222,4408,2511,53386,,15
16,,,Brunel University,23514,66,314,3446,260,27600,,6409,3307,6361,3329,3640,644,635,24325,,16
17,,,Buckinghamshire Chilterns University College,11981,122,629,339,0,13071,,2680,1265,3844,968,1158,333,911,11159,,17
18,,,The University of Cambridge,85689,3687,1452,59924,2136,152888,,29032,9145,15988,7077,1474,9125,3062,74903,,18
19,,,The Institute of Cancer Research,3767,0,138,10003,0,13908,,2121,584,2958,1612,0,5815,0,13090,,19
