Table 8 - Other Operating Costs of each Institution by Activity 2001/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,£ Thousands,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Other Operating Expenses,,,,,,,,,Depreciation,,,,,,,,,Interest Payable,,,,,,,,,,,,,,,,
,,,,Academic depts,Academic services,Admin & central services,Premises,Residences & catering  ops,Research grants & contracts,Other       expen-       diture,Total ,,Academic depts,Academic services,Admin & central services,Premises,Residences & catering ops,Research grants & contracts,Other           expen-                 diture,Total,,Premises,Residences & catering ops,Other      expen-     diture,Total ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Total UK,,1190743,453966,841656,836433,475997,861210,533381,5193386,,100502,53352,38172,270810,65825,103943,36929,669533,,53148,100287,48021,201456,,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Total England,,993934,373124,710077,686285,400423,689750,408553,4262146,,83729,41589,30253,212188,56434,84126,29921,538240,,49292,88366,34789,172447,,2,,,,,,,,,,,
3,,,Anglia Polytechnic University,6018,2655,5414,6751,2654,991,12310,36793,,65,130,0,1017,348,0,15,1575,,378,1386,0,1764,,3,,,,,,,,,,,
4,,,Aston University,4709,1648,3032,2288,2856,2358,2442,19333,,823,170,209,1415,1192,0,22,3831,,0,704,0,704,,4,,,,,,,,,,,
5,,,Bath Spa University College,2577,591,1476,1246,428,122,1829,8269,,106,113,68,383,113,4,66,853,,148,18,0,166,,5,,,,,,,,,,,
6,,,The University of Bath,8479,2363,6404,3387,4883,6050,2256,33822,,1168,105,137,1958,283,1677,18,5346,,1872,1160,82,3114,,6
7,,,Birkbeck College,3999,1177,4055,3440,153,1848,61,14733,,172,181,91,656,0,897,0,1997,,0,0,0,0,,7
8,,,The University of Birmingham,26139,6046,9124,9708,9150,17496,15743,93406,,4565,1004,579,7028,1366,7352,354,22248,,80,1922,0,2002,,8
9,,,Bishop Grosseteste College,449,101,447,206,398,0,94,1695,,32,42,22,51,38,0,0,185,,0,0,7,7,,9
10,,,Bolton Institute of Higher Education,1470,1111,2548,2885,501,266,291,9072,,107,91,51,496,131,11,0,887,,48,843,0,891,,10
11,,,The Arts Institute at Bournemouth(#1),478,361,990,863,107,0,7,2806,,0,79,0,204,22,0,384,689,,144,38,0,182,,11
12,,,Bournemouth University,7911,1657,3251,4211,2090,827,653,20600,,1189,0,1789,0,245,0,0,3223,,874,200,0,1074,,12
13,,,The University of Bradford,7622,2335,4115,2993,2479,2745,1840,24129,,393,138,104,998,654,244,24,2555,,43,449,25,517,,13
14,,,The University of Brighton,8242,3347,5149,5557,4292,1324,680,28591,,194,102,46,4079,1123,0,0,5544,,630,956,0,1586,,14
15,,,The University of Bristol,13751,5820,9350,7113,4014,18025,5430,63503,,2927,306,134,2811,308,2328,0,8814,,0,1379,1959,3338,,15
16,,,Brunel University,4471,3626,6472,5618,5390,2469,2273,30319,,462,625,108,1358,1007,632,8,4200,,27,905,0,932,,16
17,,,Buckinghamshire Chilterns University College,5432,825,4950,1802,1750,669,981,16409,,0,0,571,0,225,0,25,821,,0,0,0,0,,17
18,,,The University of Cambridge,32536,9475,27426,26275,3186,58009,41334,198241,,4553,380,300,15457,22,3696,84,24492,,0,0,0,0,,18
19,,,The Institute of Cancer Research,1856,591,1446,1021,40,7589,0,12543,,425,43,224,0,0,1145,0,1837,,1546,0,0,1546,,19
20,,,Canterbury Christ Church University College,7000,1197,3248,1907,3299,125,1602,18378,,130,299,414,961,372,0,14,2190,,223,473,0,696,,20
21,,,The University of Central England in Birmingham,11088,3702,4017,4046,2404,892,1039,27188,,869,564,396,2047,594,0,0,4470,,1198,828,0,2026,,21
22,,,The University of Central Lancashire,12626,3328,9450,4908,2075,785,461,33633,,357,702,699,2083,564,0,16,4421,,1407,1286,0,2693,,22
23,,,Central School of Speech and Drama,572,57,723,719,40,0,23,2134,,30,14,91,177,0,0,0,312,,119,0,5,124,,23
24,,,Chester College of HE,2485,909,1537,1939,848,137,788,8643,,108,23,58,96,18,5,0,308,,0,0,0,0,,24
25,,,University College Chichester,1857,500,1128,915,1303,175,140,6018,,117,290,46,367,176,7,15,1018,,6,225,0,231,,25
26,,,City University,12724,2011,5530,8950,4144,2647,935,36941,,982,229,356,992,588,0,0,3147,,844,307,0,1151,,26
27,,,Conservatoire for Dance and Drama(#1),3273,0,62,16,0,0,55,3406,,0,0,0,0,0,0,0,0,,0,0,0,0,,27
28,,,Coventry University,7493,2030,6055,6871,3737,736,4957,31879,,1241,912,118,925,41,5,2776,6018,,0,0,759,759,,28
29,,,Cranfield University,19223,3383,4367,5680,4213,13515,242,50623,,0,0,0,1149,442,0,4005,5596,,192,385,0,577,,29
30,,,Cumbria Institute of the Arts,47,93,944,433,83,5,112,1717,,169,277,36,134,34,0,0,650,,0,146,0,146,,30
31,,,Dartington College of Arts,176,105,600,262,21,0,91,1255,,0,0,219,0,0,0,0,219,,0,0,0,0,,31
32,,,De Montfort University,11479,4140,9134,4152,2106,3382,3599,37992,,0,878,0,0,168,0,3396,4442,,0,72,1181,1253,,32
33,,,University of Derby,4294,3165,4010,2697,1539,428,2026,18159,,810,1046,223,1336,583,0,0,3998,,484,2514,0,2998,,33
34,,,University of Durham,7337,5446,6691,4618,8486,8770,5753,47101,,1187,516,20,1653,1448,2732,74,7630,,1278,1256,0,2534,,34
