grid,grouping,state,uni_name,year,Women Above Senior Lecturer,Women Senior lecturer (Level C),Women Lecturer (Level B),Women Below lecturer (Level A),Total women academic,Women non-academic,Total women staff,% Women above senior lecturer,% Women Senior lecturer (Level C),% Women Lecturer (Level B),% Women below lecturer (Level A),% women academics,% women non-academic,Total % women staff,All staff above Senior Lecturer,All staff Senior lecturer (Level C),All staff Lecturer (Level B),All staff Below lecturer (Level A),Total All staff academic,All staff Non-academic,Total staff,Women % all Above Senior Lecturer,Women % all Senior lecturer (Level C),Women % all Lecturer (Level B),Women % all Below lecturer (Level A),Women % all staff tacademic,Women % all Non academic,% Men,
grid.411958.0,,AU,Australian Catholic University,2000,23,53,126,16,218,298,516,37.7,47.75,63,72.73,55.33,71.63,63.7,61,111,200,22,394,416,810,2.84,6.54,15.56,1.98,26.91,36.79,36.3,100
grid.411958.0,,AU,Australian Catholic University,2001,28,48,122,18,216,304,520,43.08,46.15,61.93,72,55.24,72.21,64.04,65,104,197,25,391,421,812,3.45,5.91,15.02,2.22,26.6,37.44,35.96,100
grid.411958.0,,AU,Australian Catholic University,2002,20,45,134,16,215,330,545,38.46,42.06,63.51,66.67,54.57,69.92,62.93,52,107,211,24,394,472,866,2.31,5.2,15.47,1.85,24.83,38.11,37.07,100.01
grid.411958.0,,AU,Australian Catholic University,2003,23,45,147,23,238,360,598,40.35,42.06,63.64,76.67,56,71.86,64.58,57,107,231,30,425,501,926,2.48,4.86,15.87,2.48,25.69,38.88,35.42,99.99
grid.411958.0,,AU,Australian Catholic University,2004,22,51,124,20,217,371,588,39.29,44.74,60.78,80,54.39,72.32,64.47,56,114,204,25,399,513,912,2.41,5.59,13.6,2.19,23.79,40.68,35.53,100
grid.411958.0,,AU,Australian Catholic University,2005,28,50,147,25,250,373,623,44.44,47.17,63.64,78.13,57.87,71.05,65.1,63,106,231,32,432,525,957,2.93,5.22,15.36,2.61,26.12,38.98,34.9,100
grid.411958.0,,AU,Australian Catholic University,2006,40,43,140,21,244,396,640,47.62,47.25,63.35,60,56.61,71.61,65.04,84,91,221,35,431,553,984,4.07,4.37,14.23,2.13,24.8,40.24,34.96,100
grid.411958.0,,AU,Australian Catholic University,2007,37,59,158,19,273,407,680,45.12,52.68,67.23,52.78,58.71,71.03,65.51,82,112,235,36,465,573,"1,038",3.56,5.68,15.22,1.83,26.29,39.21,34.49,99.99
grid.411958.0,,AU,Australian Catholic University,2008,40,62,161,16,279,438,717,43.48,56.88,65.98,47.06,58.25,70.76,65.3,92,109,244,34,479,619,"1,098",3.64,5.65,14.66,1.46,25.41,39.89,34.7,100
grid.411958.0,,AU,Australian Catholic University,2009,40,69,168,23,300,495,795,43.48,56.56,68.57,63.89,60.61,71.84,67.15,92,122,245,36,495,689,"1,184",3.38,5.83,14.19,1.94,25.34,41.81,32.85,100
grid.411958.0,,AU,Australian Catholic University,2010,61,76,192,21,350,508,858,53.51,60.32,70.85,53.85,63.64,71.05,67.83,114,126,271,39,550,715,"1,265",4.82,6.01,15.18,1.66,27.67,40.16,32.17,100
grid.411958.0,,AU,Australian Catholic University,2011,75,86,195,21,377,566,943,53.96,63.7,68.18,65.63,63.68,72.29,68.58,139,135,286,32,592,783,"1,375",5.45,6.25,14.18,1.53,27.41,41.16,31.42,99.99
grid.411958.0,,AU,Australian Catholic University,2012,76,97,200,26,399,634,"1,033",52.78,65.99,70.67,78.79,65.73,72.37,69.66,144,147,283,33,607,876,"1,483",5.12,6.54,13.49,1.75,26.9,42.75,30.34,99.99
grid.411958.0,,AU,Australian Catholic University,2013,80,105,210,28,423,694,"1,117",54.05,63.25,69.31,75.68,64.68,73.83,70.08,148,166,303,37,654,940,"1,594",5.02,6.59,13.17,1.76,26.54,43.54,29.92,100
grid.411958.0,,AU,Australian Catholic University,2014,89,114,237,20,460,747,"1,207",44.95,63.69,70.54,57.14,61.5,73.24,68.27,198,179,336,35,748,"1,020","1,768",5.03,6.45,13.4,1.13,26.01,42.25,31.73,99.99
grid.411958.0,,AU,Australian Catholic University,2015,100,117,256,25,498,835,"1,333",47.85,66.48,69,62.5,62.56,72.67,68.53,209,176,371,40,796,"1,149","1,945",5.14,6.02,13.16,1.29,25.61,42.93,31.47,100.01
grid.411958.0,,AU,Australian Catholic University,2016,106,121,288,18,533,883,"1,416",47.32,70.35,70.07,69.23,63.99,72.44,69.01,224,172,411,26,833,"1,219","2,052",5.17,5.9,14.04,0.88,25.99,43.03,30.99,100.01
